,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
3865,Kepler-1921 b,Kepler-1921,1,0.1557,0.0,0.0,6.348690288780016,5.1368990744699765,-3.6154990385969534,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
3866,Kepler-1894 b,Kepler-1894,1,0.0385,0.0,0.0,1.8638890606847995,1.922954193536299,-1.153925459173597,2,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-23+3-
3889,K2-398 c,K2-398,1,,,,33.35949997662411,12.983685563908445,-11.962294093297619,2,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,,,,0123
3896,Kepler-1991 c,Kepler-1991,1,0.1549,0.0,0.0,5.835809087332384,2.861021438473191,-2.246601098497578,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
3897,Kepler-1991 b,Kepler-1991,1,0.108,0.0,0.0,1.8983458636784318,1.6812934815543121,-1.057161558183195,2,0.0,0.0,0.0,88.24,0.0,0.0,,,,01+1-23+3-
3900,Kepler-1987 d,Kepler-1987,1,0.0571,0.0,0.0,9.744588380977728,3.1550212065759844,-2.6230400556116367,4,0.0,0.0,0.0,87.66,0.0,0.0,,,,01+1-23+3-
3901,Kepler-1669 b,Kepler-1669,1,0.0729,0.0,0.0,6.624489652674946,2.9252862374172377,-2.143443524354863,3,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-23+3-
3902,Kepler-416 c,Kepler-416,1,0.1038,0.0,0.0,7.321106887102369,3.892396657317894,-2.6610875897459287,3,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
3905,Kepler-549 c,Kepler-549,1,0.4416,0.0,0.0,9.789106443034303,7.115029321646858,-4.369281320436296,3,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-23+3-
3906,Kepler-1610 c,Kepler-1610,1,0.2323,0.0,0.0,5.18728998587722,2.5968962222666043,-2.1283540147992874,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
3931,TOI-4600 b,TOI-4600,1,0.349,0.021,-0.021,959.84179,0.0,0.0,2,0.25,0.33,-0.17,89.76,0.14,-0.1,,,,02+2-
3932,Kepler-125 c,Kepler-125,1,0.051199999999999996,0.0,0.0,0.4684483625464397,0.23685150147715567,-0.17211000460722914,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
3945,Kepler-46 b,Kepler-46,1,0.1956,0.0014999999999999998,-0.00145,1094.139775,118.86842,-109.01569,3,0.0,0.00845,-0.0089,89.23,0.10750000000000001,-0.10350000000000001,,,,0
3948,Kepler-249 b,Kepler-249,1,0.0331,0.00143,-0.00143,1.119754265578277,0.654824884461757,-0.4489824995813564,3,0.0,0.0,0.0,84.8,0.0,0.0,,,,01+1-23+3-
3966,Kepler-1067 b,Kepler-1067,1,0.0158,0.0,0.0,0.2882943463059121,0.19131710442062794,-0.12298332957987146,2,0.0,0.0,0.0,86.52,0.0,0.0,,,,01+1-23+3-
3974,K2-389 c,K2-389,1,,,,5.232553371806348,2.1883347794499244,-1.3427981615776878,2,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,,,,0123
3975,Kepler-27 b,Kepler-27,1,0.1201,0.0,0.0,1468.555,5.0,-5.9,3,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-3+3-
3998,Kepler-1996 b,Kepler-1996,1,0.1726,0.0,0.0,4.323062524111419,2.5960645533917157,-1.4390984776547602,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
3999,Kepler-2001 b,Kepler-2001,1,0.0197,0.0,0.0,0.9880103111332919,0.48758190910109467,-0.35534541051277924,2,0.0,0.0,0.0,86.52,0.0,0.0,,,,01+1-23+3-
4000,Kepler-2000 b,Kepler-2000,1,0.0565,0.0,0.0,7.468118174974707,3.3401964872857857,-2.246909489146188,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
4011,HD 105618 b,HD 105618,1,0.091,0.004,-0.004,25.42627,2.2248,-2.54263,2,0.455,0.041,-0.038,31.968,3.441,-3.897,,,,03
4012,HD 11506 c,HD 11506,1,0.7355,0.02,-0.0265,123.47666000000001,15.414724999999999,-16.527124999999998,3,0.2365,0.061,-0.0635,82.004,25.098,-21.421,,,,03
4013,HD 125612 d,HD 125612,1,4.06,0.20450000000000002,-0.212,2286.0,295.89899,-218.50777,3,0.1172,0.012,-0.012,88.195,16.306,-15.98,,,,0
4015,Teegarden's Star d,Teegarden's Star,1,0.0791,0.0025,-0.0027,0.82,0.17,-0.17,3,0.07,0.1,-0.05,90.0,0.0,0.0,,,,03
