,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
782,GJ 357 b,GJ 357,1,0.035500000000000004,0.0012000000000000001,-0.0012000000000000001,1.84,0.31,-0.31,3,0.20543615100312596,0.0,0.0,89.12,0.37,-0.31,,,,01
795,Kepler-51 b,Kepler-51,1,0.2528,0.0097,-0.0097,2.3,1.7,-1.59,3,0.0,0.01,-0.01,89.95,0.15,-0.17,,,,0
804,WASP-126 b,WASP-126,1,0.0449,0.0008,-0.0008,89.6462,12.7132,-12.7132,2,0.18,0.0,0.0,88.30000000000001,1.2,-1.2,,,,01+1-
807,HD 99492 c,HD 99492,1,,,,17.9,1.3,-1.3,2,0.063,0.06,-0.04,90.0,0.0,0.0,,,,03
808,HD 99492 b,HD 99492,1,0.12243,0.001,-0.001,26.72937,1.9228649999999998,-1.9228649999999998,2,0.085,0.07,-0.07,90.0,0.0,0.0,,,,03
809,HD 4732 b,HD 4732,1,1.1595,0.025500000000000002,-0.027000000000000003,692.21861,78.820615,-78.502785,2,0.198,0.07050000000000001,-0.064,90.0,0.0,0.0,,,,03
810,HD 4732 c,HD 4732,1,4.6625,0.14350000000000002,-0.14350000000000002,911.361295,78.81905,-103.13292,2,0.20850000000000002,0.052000000000000005,-0.068,90.0,0.0,0.0,,,,03
811,75 Cet b,75 Cet,1,2.0060000000000002,0.002,-0.003,870.69331,23.5193,-28.60456,2,0.10500000000000001,0.037,-0.045,90.0,0.0,0.0,,,,03
812,75 Cet c,75 Cet,1,3.929,0.058,-0.052,289.85951,27.9689,-45.44946,2,0.023,0.191,-0.003,90.0,0.0,0.0,,,,03
813,nu Oph c,nu Oph,1,5.931,0.006,-0.006,7838.32346,65.15482,-44.17815,2,0.179,0.007,-0.006,90.0,0.0,0.0,,,,03+3-
815,TOI-1470 b,TOI-1470,1,0.0285,0.0004,-0.0004,7.32,1.21,-1.24,2,0.3,0.0,0.0,87.42,0.12,-0.12,,,,01+1-
817,Kepler-111 b,Kepler-111,1,0.0452,0.0,0.0,4.124681540863594,2.4351392922206685,-1.5167258315159247,2,0.0,0.0,0.0,76.2,0.0,0.0,,,,01+1-23+3-
831,HD 27894 c,HD 27894,1,0.198,0.001,-0.001,51.48846,3.49613,-12.7132,3,0.015,0.02,-0.002,101.524,14.742,-31.503,,,,03
868,Kepler-26 b,Kepler-26,1,0.0854,0.00393,-0.00393,5.12,0.665,-0.625,4,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-3+3-
869,Kepler-26 c,Kepler-26,1,0.1071,0.00493,-0.00493,6.16,0.7,-0.7,4,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-3+3-
882,K2-141 b,K2-141,1,0.007315,0.00032500000000000004,-0.000375,5.12,0.38,-0.375,2,0.0,0.0,0.0,86.3,2.7,-3.6,,,,01+1-
901,HD 105618 c,HD 105618,1,35.731,6.866,-3.639,8419.59233,1379.37529,-898.50091,2,0.126,0.098,-0.08,31.968,3.441,-3.897,,,,0
904,HD 11506 b,HD 11506,1,2.654,0.123,-0.12,1520.78445,165.2716,-105.83686,3,0.33499999999999996,0.055,-0.055,112.598,23.304,-52.7,,,,0
905,HD 125612 c,HD 125612,1,0.051,0.00255,-0.00255,17.48065,2.860465,-3.01938,3,0.149,0.12,-0.093,88.195,16.306,-15.98,,,,03
