hostname,pl_name,default_flag,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2
WASP-47,WASP-47 b,0,2022-09-19,4,0.0512800565125766,,,12.64,0.15,-0.15,363.6,7.3,-7.3,,,,,,,,,
WASP-47,WASP-47 b,0,2022-10-18,4,,,,,,,,,,,,,,,,,,
WASP-47,WASP-47 b,0,2024-03-04,4,0.0518759622960328,,,12.785877635973096,,,,,,,,,88.98,0.2,-0.2,,,
WASP-47,WASP-47 b,1,2024-05-14,4,0.0516067047723583,,,12.86,0.1,-0.1,374.0,17.0,-16.0,0.0006,0.0005,-0.0002,89.0,0.17,-0.17,,,
WASP-47,WASP-47 c,0,2018-06-26,4,1.41,0.3,-0.3,,,,500.0,320.0,-190.0,0.36,0.12,-0.12,87.0,45.0,-45.0,,,
WASP-47,WASP-47 c,0,2018-06-26,4,1.36,0.04,-0.04,,,,394.1092,69.9226,-69.9226,0.13,0.1,-0.1,,,,,,
WASP-47,WASP-47 c,0,2018-06-26,4,1.393,0.014,-0.014,,,,398.2,9.3,-9.3,0.296,0.017,-0.017,,,,,,
WASP-47,WASP-47 c,0,2022-09-19,4,1.3929131209243366,,,,,,398.9,9.1,-9.1,0.295,0.016,-0.016,,,,,,
WASP-47,WASP-47 c,1,2024-05-14,4,1.403007270186743,,,,,,447.0,18.0,-22.0,0.264,0.007,-0.012,90.0,,,,,
WASP-47,WASP-47 d,0,2018-06-26,4,0.088,0.019,-0.019,3.71,0.82,-0.82,16.8,12.0,-7.0,0.006,0.0098,-0.0041,89.22,0.13,-0.13,,,
WASP-47,WASP-47 d,0,2018-06-26,4,0.0862453335975189,,,3.576,0.046,-0.046,13.1,1.5,-1.5,0.014,,,89.32,0.23,-0.23,,,
WASP-47,WASP-47 d,0,2018-06-26,4,0.085,0.0027,-0.0027,3.18,0.68,-0.68,,,,,,,,,,,,
WASP-47,WASP-47 d,0,2018-06-26,4,0.0842998696084323,,,3.6,0.13,-0.13,10.4,8.4,-8.4,,,,,,,,,
WASP-47,WASP-47 d,0,2015-12-05,4,,,,3.06,,,,,,,,,,,,,,
WASP-47,WASP-47 d,0,2022-03-28,4,0.0869637377799923,,,3.3,0.1,-0.1,,,,,,,89.5,2.0,-0.9,,,
WASP-47,WASP-47 d,0,2022-09-19,4,0.0859847889274453,,,3.567,0.045,-0.045,14.2,1.3,-1.3,0.01,0.011,-0.007,,,,,,
WASP-47,WASP-47 d,1,2024-05-14,4,0.086532164489991,,,3.65,0.03,-0.03,15.5,0.7,-0.9,0.001,0.0008,-0.0007,89.23,0.1,-0.1,,,
WASP-47,WASP-47 e,0,2018-06-26,4,0.017327641014345,,,1.829,0.07,-0.07,22.0,,,,,,87.0,3.1,-3.1,,,
WASP-47,WASP-47 e,0,2018-06-26,4,0.0173,0.0038,-0.0038,1.82,0.4,-0.4,9.1,5.5,-3.6,0.03,0.036,-0.02,86.2,2.1,-2.1,,,
WASP-47,WASP-47 e,0,2018-06-26,4,0.0169914122313774,,,1.81,0.027,-0.027,6.83,0.66,-0.66,,,,85.98,0.75,-0.75,,,
WASP-47,WASP-47 e,0,2018-06-26,4,0.01673,0.00053,-0.00053,1.64,0.36,-0.36,,,,,,,,,,,,
WASP-47,WASP-47 e,0,2019-08-23,4,0.016780036486712,,,1.773,0.049,-0.048,6.91,0.81,-0.83,,,,,,,,,
WASP-47,WASP-47 e,0,2015-12-05,4,,,,1.5,,,,,,,,,,,,,,
WASP-47,WASP-47 e,0,2016-06-09,4,0.0160441120503194,,,1.79,0.13,-0.13,,,,,,,81.8,5.9,-7.7,,,
WASP-47,WASP-47 e,0,2022-03-28,4,0.0163696447585867,,,1.8,0.1,-0.09,,,,,,,89.6,10.0,-9.0,,,
WASP-47,WASP-47 e,0,2022-09-19,4,0.0169387411541483,,,1.808,0.026,-0.026,6.77,0.57,-0.57,,,,,,,,,
WASP-47,WASP-47 e,1,2024-05-14,4,0.0170468744922727,,,1.83,0.02,-0.02,9.0,0.6,-0.4,0.0,,,86.73,1.76,-1.76,,,
HD 23472,HD 23472 d,1,2022-10-03,5,0.04298,0.00063,-0.00065,0.75,0.067,-0.057,0.55,0.21,-0.2,0.07,0.05,-0.047,87.95,1.2,-0.87,,,
