hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
Kepler-200,Kepler-200 b,2014-05-14,2,0.0832,0.0,0.0,6.589912766501628,3.8228295090481854,-2.6962119390810595,0.0,0.0,0.0,83.08,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-243,Kepler-243 b,2014-05-14,2,0.05984655027558694,0.0,0.0,6.974779246736131,3.0644791476958693,-2.190427751376177,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-254,Kepler-254 b,2014-05-14,3,0.0630288052305267,0.0,0.0,15.255934884962734,12.137550063685381,-7.177384718415036,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-172,Kepler-172 c,2014-05-14,4,0.06624141274133076,0.0,0.0,6.8083054113962245,3.6104161523244755,-2.465498022950876,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-299,Kepler-299 c,2014-05-14,4,0.070834332835513,0.0,0.0,5.29426210512934,2.671023113088638,-2.2472226961009345,0.0,0.0,0.0,87.09,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-278,Kepler-278 c,2014-05-14,2,0.2938,0.0,0.0,12.965932802675196,3.890668335908826,-3.160295166593931,0.0,0.19,-0.12,89.38,0.0,0.0,-1.7199999999999989,0.0,-0.0,02+-3+3-4+4-5+-,-1.7199999999999989,0.0,-0.0
Kepler-339,Kepler-339 d,2014-05-14,3,0.091,0.0,0.0,14.7,14.1,-10.0,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-399,Kepler-399 b,2014-05-14,3,0.1034,0.0,0.0,0.9256694557121277,0.908706341447129,-0.5009033862947487,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
HD 207832,HD 207832 c,2015-09-08,2,2.112,0.087,-0.045,232.0159,57.2094,-15.8915,0.27,0.22,-0.1,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
K2-133,K2-133 e,2019-05-20,4,0.1346,0.0011,-0.0011,4.33609559085366,2.5022421641536408,-1.4894427435025381,0.15319315421743498,0.0,0.0,89.164,0.012,-0.01,0.2960000000000065,0.12557467897629682,-0.07071067811865477,01+-2+-5+-,0.2960000000000065,0.12557467897629682,-0.07071067811865477
