hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
Kepler-1038,Kepler-1038 b,2016-05-06,2,0.5238188184602586,0.0,0.0,13.932110952012934,10.154795830658816,-6.242276314498904,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-1693,Kepler-1693 b,2020-09-08,2,0.10139820338673745,0.0,0.0,1.3314326748382035,1.4684856819733252,-0.829249523633553,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
GJ 887,GJ 887 c,2020-07-02,2,0.12,0.004,-0.004,7.6,1.2,-1.2,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-3+-5+-,0.0,0.0,-0.0
Kepler-333,Kepler-333 b,2014-05-14,2,0.0896,0.0,0.0,28.2,29.0,-24.1,0.0,0.0,0.0,88.24,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-153,Kepler-153 c,2014-05-14,2,0.2375,0.0,0.0,7.214698830649632,5.466165485378506,-3.3765767954149744,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-387,Kepler-387 c,2014-05-14,2,0.1032,0.0,0.0,1.036679066395573,0.944599441101418,-0.5611533617264455,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-317,Kepler-317 b,2014-05-14,2,0.0607726154501982,0.0,0.0,109.8,113.6,-95.9,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-280,Kepler-280 b,2014-05-14,2,0.031944041335558775,0.0,0.0,2.8038369991295244,2.2110333035494127,-1.641037019785757,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-388,Kepler-388 c,2014-05-14,2,0.094,0.0,0.0,0.7775286901454125,0.3113796856610419,-0.24602147340281932,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-238,Kepler-238 d,2014-05-14,5,0.1116,0.0,0.0,7.420400383424701,4.160667531813569,-2.859293051794568,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-241,Kepler-241 c,2014-05-14,2,0.1871,0.0,0.0,8.22413155530992,2.853751441034559,-2.296012518930662,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-184,Kepler-184 c,2014-05-14,3,0.141,0.0,0.0,8.8,7.4,-5.7,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-342,Kepler-342 b,2014-05-14,4,0.1275,0.0,0.0,5.426987163369336,2.8020394846550793,-2.286966577107119,0.0,0.0,0.0,89.95,0.0,0.0,-5.150000000000006,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-5.150000000000006,0.0,-0.0
Kepler-292,Kepler-292 c,2014-05-14,5,0.04498869017009134,0.0,0.0,3.9756578772426345,2.307443823504427,-1.652976057667955,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-245,Kepler-245 e,2016-05-06,4,0.03985,0.0,0.0,4.156704307309393,2.8157115779078685,-2.3699485284170327,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-351,Kepler-351 c,2014-05-14,3,0.2818,0.0,0.0,11.1,9.9,-7.6,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-920,Kepler-920 b,2016-05-06,2,0.06651083155432695,0.0,0.0,7.407787389612141,3.8326962742974544,-2.660585446101577,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-156,Kepler-156 b,2014-05-14,2,0.053701049181089866,0.0,0.0,6.970235118278669,2.5068167272830078,-1.7848766636091797,0.0,0.0,0.0,85.94,0.0,0.0,2.299999999999997,0.0,-0.0,01+1-2+-3+3-4+4-5+-,2.299999999999997,0.0,-0.0
Kepler-234,Kepler-234 c,2014-05-14,2,0.07606965169572574,0.0,0.0,13.52583798833576,11.65308654573074,-6.517665905120803,0.0,0.0,0.0,89.95,0.0,0.0,-10.310000000000002,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-10.310000000000002,0.0,-0.0
Kepler-251,Kepler-251 d,2014-05-14,4,0.1860979209965552,0.0,0.0,15.299039840889442,10.981868625991542,-6.8281051280107,0.0,0.0,0.0,88.24,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-253,Kepler-253 d,2014-05-14,3,0.12814615819078085,0.0,0.0,11.215789164149054,5.24249558216923,-3.93433290615636,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
K2-166,K2-166 b,2022-03-28,2,0.07187995223350462,0.001,-0.0009,5.177255669920383,2.3645966637143276,-1.5396228313375246,0.31066330191540814,0.0,0.0,87.429,1.85,-3.897,0.0,2.616295090390226,-5.5111902525679515,01+-2+-5+-,0.0,2.616295090390226,-5.5111902525679515
HD 83443,HD 83443 c,2022-06-08,2,8.0,0.8,-0.8,476.74261,158.9142,-63.56568,0.76,0.046,-0.047,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 156668,HD 156668 b,2019-01-28,2,0.05024,0.0006050000000000001,-0.00061,4.15,0.58,-0.58,0.22,0.076,-0.076,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
K2-158,K2-158 c,2022-03-28,2,0.0622,0.0006,-0.0006,2.1039092565222455,0.8251345937314474,-0.648607791355255,0.31066330191540814,0.0,0.0,88.405,1.156,-2.392,0.0,1.6348308781032976,-3.3827988411964434,01+-2+-3+-5+-,0.0,1.6348308781032976,-3.3827988411964434
K2-243,K2-243 c,2022-03-28,2,0.1817,0.0022,-0.0024,5.110555264584681,2.3655648903269464,-1.3243424768843304,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-5+-,0.0,0.0,-0.0
K2-247,K2-247 b,2022-03-28,2,0.0304,0.0004,-0.0004,5.537927230760536,2.094219216139601,-1.4194252860932632,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-5+-,0.0,0.0,-0.0
K2-254,K2-254 b,2022-03-28,2,0.0448,0.0005,-0.0005,3.7149248936570523,2.259156504193916,-1.4934207212447852,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-5+-,0.0,0.0,-0.0
K2-254,K2-254 c,2022-03-28,2,0.0923,0.001,-0.001,5.803821949594504,2.1747148666763563,-1.5435435800076993,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-5+-,0.0,0.0,-0.0
EPIC 206024342,EPIC 206024342 b,2019-06-03,3,0.05256613150942188,0.0,0.0,3.405987099310816,2.2220028028743197,-1.655608372726348,0.20543615100312596,0.0,0.0,90.0,2.0,-1.0,0.0,2.8284271247461903,-1.4142135623730951,01+-2+-3+-4+4-5+-,0.0,2.8284271247461903,-1.4142135623730951
EPIC 206024342,EPIC 206024342 d,2021-10-25,3,0.12203291139490798,0.0,0.0,8.611777849228373,7.404097052145273,-4.1089601978136345,0.20543615100312596,0.0,0.0,90.0,2.0,-1.0,0.0,2.8284271247461903,-1.4142135623730951,01+-2+-4+4-5+-,0.0,2.8284271247461903,-1.4142135623730951
EPIC 206024342,EPIC 206024342 c,2021-10-25,3,0.02018209781912357,0.0,0.0,2.2921831121242007,2.1848431791813376,-1.3671614700525898,0.20543615100312596,0.0,0.0,91.7,9.0,-9.0,-1.7000000000000028,9.219544457292887,-9.055385138137417,01+-2+-4+4-5+-,-1.7000000000000028,9.219544457292887,-9.055385138137417
HD 83443,HD 83443 b,2022-06-08,2,0.0406,0.0006,-0.00061,126.491,6.3566,-6.3566,0.012,0.023,-0.023,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
K2-396,K2-396 b,2022-03-16,2,0.014076034305480259,0.0,0.0,3.8836610437803123,1.5868381316523128,-1.4354603237171788,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-4+4-5+-,0.0,0.0,-0.0
Kepler-324,Kepler-324 b,2014-05-14,4,0.05043532621047853,0.0,0.0,1.353162563648227,0.7578235494296668,-0.5565520164678129,0.0,0.0,0.0,89.38,0.0,0.0,-1.7199999999999989,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-1.7199999999999989,0.0,-0.0
Kepler-324,Kepler-324 e,2021-12-05,4,0.10924239837161659,0.0,0.0,3.8583358454837753,2.318578714526829,-1.6609980201010983,0.0,0.0,0.0,89.95,0.0,0.0,-2.2900000000000063,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-2.2900000000000063,0.0,-0.0
Kepler-1610,Kepler-1610 b,2016-05-06,2,0.0777,0.0,0.0,2.8593030412318283,1.874068787324192,-1.2577239005883276,0.0,0.0,0.0,88.81,0.0,0.0,1.1400000000000006,0.0,-0.0,01+1-2+-3+3-4+4-5+-,1.1400000000000006,0.0,-0.0
Kepler-1488,Kepler-1488 c,2021-12-05,2,0.06567584049622116,0.0,0.0,0.5974322734988193,0.7300374920710804,-0.3672719484299827,0.0,0.0,0.0,87.66,0.0,0.0,2.2900000000000063,0.0,-0.0,01+1-2+-3+3-4+4-5+-,2.2900000000000063,0.0,-0.0
Kepler-1514,Kepler-1514 c,2021-01-05,2,0.0992531862814848,0.0018,-0.0018,3.922076568883311,3.8848270030010763,-2.920355420887627,0.0,0.35,-0.19,88.81,1.2,-0.4,1.1400000000000006,1.2000704146007433,-0.4001249804748512,02+-5+-,1.1400000000000006,1.2000704146007433,-0.4001249804748512
Kepler-598,Kepler-598 b,2016-05-06,2,0.043899999999999995,0.0,0.0,3.430592289709994,1.735000110332519,-1.211559184565314,0.0,0.0,0.0,88.24,0.0,0.0,1.710000000000008,0.0,-0.0,01+1-2+-3+3-4+4-5+-,1.710000000000008,0.0,-0.0
Kepler-1312,Kepler-1312 b,2016-05-06,2,0.0603,0.0,0.0,5.62512419765735,2.6052550411601842,-1.98344564454705,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-534,Kepler-534 b,2016-05-06,2,0.1272,0.0,0.0,5.960713826536338,2.0867206711885515,-1.5752147964883836,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-1666,Kepler-1666 c,2020-09-08,2,0.24015,0.0,0.0,9.723652472957397,7.63770809621052,-4.221695976198184,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-1165,Kepler-1165 b,2016-05-06,2,0.09075393453391652,0.0,0.0,2.7743569674013537,2.4446467595110013,-1.6778209964545963,0.0,0.0,0.0,89.38,0.0,0.0,0.5700000000000074,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.5700000000000074,0.0,-0.0
Kepler-1165,Kepler-1165 c,2021-12-05,2,0.19550284001032775,0.0,0.0,5.243946246006385,3.255805803917913,-2.787939533281068,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-1315,Kepler-1315 b,2016-05-06,2,0.016258676077707535,0.0,0.0,3.635918015851318,3.6087914656695235,-2.7916863030151333,0.0,0.0,0.0,88.24,0.0,0.0,1.1400000000000006,0.0,-0.0,01+1-2+-3+3-4+4-5+-,1.1400000000000006,0.0,-0.0
Kepler-633,Kepler-633 c,2021-12-05,2,0.1636,0.0,0.0,7.183770298651037,6.43475450184434,-3.9647920547466926,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-324,Kepler-324 d,2021-06-11,4,0.1986632653124471,0.0,0.0,2.23,0.5,-0.84,0.0,0.0,0.0,89.95,0.0,0.0,-2.2900000000000063,0.0,-0.0,01+1-3+3-4+4-5+-,-2.2900000000000063,0.0,-0.0
HD 68988,HD 68988 c,2021-09-20,2,13.2,5.3,-2.0,4767.4261,889.91954,-476.74261,0.45,0.13,-0.081,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-1468,Kepler-1468 d,2021-12-05,3,0.14363004286625247,0.0,0.0,4.00746696503432,2.5923634536015934,-2.135958688448068,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
HD 107148,HD 107148 b,2014-05-14,2,0.3179,0.0103,-0.010450000000000001,65.63008500000001,7.9453000000000005,-8.104215,0.11199999999999999,0.1205,-0.1225,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 107148,HD 107148 c,2021-09-20,2,0.1407,0.0018,-0.0019,19.89606,3.08294,-3.11472,0.34,0.13,-0.16,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-647,Kepler-647 c,2020-09-08,2,0.1874622369735647,0.0,0.0,8.381960019385648,3.768877006959114,-2.650337464958742,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-595,Kepler-595 c,2020-11-13,2,0.1000144209087507,0.0,0.0,3.3,1.7,-1.0,0.0,0.0,0.0,89.01,0.0,0.0,0.9399999999999977,0.0,-0.0,01+1-3+3-4+4-5+-,0.9399999999999977,0.0,-0.0
Kepler-1073,Kepler-1073 b,2016-05-06,3,0.082,0.0,0.0,5.479012021647559,2.695309820728186,-2.1173800503392943,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
GJ 411,GJ 411 b,2022-05-24,2,0.078845,0.00062,-0.00066,2.746625,0.2712,-0.280735,0.1075,0.1095,-0.078,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-196,Kepler-196 c,2014-05-14,3,0.24479104480280678,0.0,0.0,6.7235733880778055,5.838513529042856,-3.7157638205409618,0.0,0.0,0.0,89.95,0.0,0.0,-0.5700000000000074,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-0.5700000000000074,0.0,-0.0
Kepler-196,Kepler-196 d,2021-12-05,3,0.45976755576164163,0.0,0.0,18.120536250088392,21.447289523252323,-12.241139427758554,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-1266,Kepler-1266 b,2016-05-06,2,0.17150431115587494,0.0,0.0,7.667749981305854,3.6134809634035454,-2.536489688891624,0.0,0.0,0.0,88.24,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-716,Kepler-716 b,2016-05-06,2,0.0874,0.0,0.0,8.581411163060306,3.84787489484172,-2.669758178351352,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
K2-396,K2-396 c,2022-03-16,2,0.16818507858614865,0.0,0.0,11.105799047797237,2.9347723684892717,-2.75804785869712,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-4+4-5+-,0.0,0.0,-0.0
Kepler-1038,Kepler-1038 c,2021-12-05,2,0.06859729243517651,0.0,0.0,1.5423928203934358,1.4763891211419313,-0.9099439494487591,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
KOI-7892,KOI-7892 b,2015-12-24,3,0.20332772958378745,0.0,0.0,15.39662181156393,19.71221432235624,-10.21619170222646,0.20543615100312596,0.0,0.0,89.3,0.49,-0.72,0.0,0.6929646455628166,-1.0182337649086284,01+-2+-4+4-5+-,0.0,0.6929646455628166,-1.0182337649086284
Kepler-607,Kepler-607 c,2021-12-05,2,0.21221020409606967,0.0,0.0,9.601157605805538,12.110451967069691,-5.936965767478472,0.0,0.0,0.0,87.66,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
BD-11 4672,BD-11 4672 c,2020-07-17,2,0.3,0.01,-0.01,15.37,2.97,-2.81,0.4,0.13,-0.15,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-1073,Kepler-1073 c,2016-05-06,3,0.0483,0.0,0.0,3.024010051597064,2.1437641765522715,-1.4289430317588816,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-418,Kepler-418 c,2021-12-05,2,0.1054,0.0,0.0,23.89690572546371,18.934745119676627,-12.829052933335994,0.0,0.0,0.0,88.81,0.0,0.0,1.1400000000000006,0.041,-0.041,01+1-2+-3+3-4+4-5+-,1.1400000000000006,0.041,-0.041
Kepler-1666,Kepler-1666 b,2020-09-08,2,0.17754999999999999,0.0,0.0,7.448914358437559,4.8015978582812355,-3.190241545684475,0.0,0.0,0.0,88.81,0.0,0.0,1.1400000000000006,0.0,-0.0,01+1-2+-3+3-4+4-5+-,1.1400000000000006,0.0,-0.0
Kepler-598,Kepler-598 c,2020-09-08,2,0.36029999999999995,0.0,0.0,9.468593205715706,3.3943090771017506,-2.7994312843245037,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-27,Kepler-27 d,2021-12-05,3,0.06754356651561874,0.0,0.0,8.80872758219067,2.4198638700960107,-1.955795214718428,0.0,0.0,0.0,84.8,0.0,0.0,4.010000000000005,0.0,-0.0,01+1-2+-3+3-4+4-5+-,4.010000000000005,0.0,-0.0
Kepler-1312,Kepler-1312 c,2021-12-05,2,0.0209,0.0,0.0,0.5928382813235347,0.4977211951316065,-0.3069540816142081,0.0,0.0,0.0,89.38,0.0,0.0,0.5700000000000074,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.5700000000000074,0.0,-0.0
Kepler-1321,Kepler-1321 c,2016-05-06,3,0.0286062888219053,0.0,0.0,10.750376123144783,3.169699073884029,-2.6919354428876208,0.0,0.0,0.0,89.95,0.0,0.0,-1.710000000000008,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-1.710000000000008,0.0,-0.0
Kepler-616,Kepler-616 b,2016-05-06,3,0.092,0.0,0.0,7.044044015962514,4.173324115922961,-2.6502980581507467,0.0,0.0,0.0,89.38,0.0,0.0,0.5700000000000074,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.5700000000000074,0.0,-0.0
Kepler-616,Kepler-616 c,2016-05-06,3,0.398,0.0,0.0,12.448757898408273,9.179646700712246,-5.596707232076198,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
HD 164922,HD 164922 c,2020-05-15,4,0.341,0.0039,-0.0039,13.0,1.6,-1.6,0.12,0.11,-0.09,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 164922,HD 164922 d,2020-05-15,4,0.10264999999999999,0.0010999999999999998,-0.0010999999999999998,4.36782,0.83372,-0.83372,0.15,0.15000000000000002,-0.1,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-1907,Kepler-1907 b,2021-12-05,2,0.0565,0.0,0.0,0.9470389056170578,1.7303254277955853,-0.6983305291155013,0.0,0.0,0.0,89.38,0.0,0.0,-6.86999999999999,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-6.86999999999999,0.0,-0.0
Kepler-1067,Kepler-1067 c,2021-12-05,2,0.059202413308435425,0.0,0.0,2.2632656838006047,1.7660250656286007,-1.1647357252188841,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
HD 164922,HD 164922 e,2021-09-20,4,0.2292,0.0026,-0.0027,10.52012,0.98527,-0.98527,0.086,0.083,-0.06,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 164922,HD 164922 b,2020-05-15,4,2.115,0.03,-0.03,109.33297,10.0,-12.0,0.065,0.06,-0.05,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 216520,HD 216520 c,2020-12-10,2,0.528,0.01,-0.01,9.44,1.63,-1.63,0.12,0.08,-0.08,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
GJ 887,GJ 887 b,2020-07-02,2,0.068,0.002,-0.002,4.2,0.6,-0.6,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
Kepler-589,Kepler-589 c,2021-12-05,2,0.0426,0.0,0.0,1.230460814314207,1.3817242063381774,-0.7454790510558968,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-529,Kepler-529 b,2016-05-06,3,0.03075,0.0,0.0,3.873601610558984,2.465633742590121,-1.8078942592683416,0.0,0.0,0.0,87.66,0.0,0.0,1.1500000000000057,0.0,-0.0,01+1-2+-3+3-4+4-5+-,1.1500000000000057,0.0,-0.0
Kepler-385,Kepler-385 b,2014-05-14,3,0.0939,0.0,0.0,12.8,11.4,-6.8,0.0,0.0,0.0,79.64,0.0,0.0,1.1500000000000057,0.0,-0.0,01+1-3+3-4+4-5+-,1.1500000000000057,0.0,-0.0
K2-374,K2-374 c,2022-03-16,2,0.11472749237466252,0.0,0.0,5.857389505428612,1.901847577026289,-1.2797629586213333,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-4+4-5+-,0.0,0.0,-0.0
K2-264,K2-264 b,2019-02-05,2,0.04959505966170479,0.00042,-0.00043,5.967551781827606,2.017333829649024,-1.4289318474062966,0.5,0.0,0.0,88.95500000000001,0.6399999999999999,-0.55,0.5349999999999824,0.6907966415668216,-0.5905294234837076,01+1-2+-5+-,0.5349999999999824,0.6907966415668216,-0.5905294234837076
Kepler-1530,Kepler-1530 b,2016-05-06,3,0.036500769371842594,0.0,0.0,6.777802213916995,4.732553160980959,-3.214373167273402,0.0,0.0,0.0,89.38,0.0,0.0,-1.7199999999999989,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-1.7199999999999989,0.0,-0.0
Kepler-1530,Kepler-1530 c,2016-05-06,3,0.05901949317369562,0.0,0.0,6.760270491753231,4.833843607887588,-3.1261641915544285,0.0,0.0,0.0,89.95,0.0,0.0,-2.2900000000000063,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-2.2900000000000063,0.0,-0.0
HD 24040,HD 24040 c,2021-09-20,2,1.3,0.021,-0.022,63.88351,8.58137,-8.58137,0.11,0.12,-0.079,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 24040,HD 24040 b,2018-09-04,2,4.765497593503743,0.142,-0.1435,1287.20505,47.67426,-47.67426,0.04,0.02,-0.02,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
K2-146,K2-146 c,2019-08-09,2,0.033403332797405025,0.0006,-0.0006,7.295,0.5700000000000001,-0.5700000000000001,0.1175,0.043000000000000003,-0.043000000000000003,87.42,0.16999999999999998,-0.16999999999999998,0.0,0.24041630560342614,-0.24041630560342614,05+-,0.0,0.24041630560342614,-0.24041630560342614
K2-407,K2-407 c,2022-03-16,2,0.08113577220855459,0.0,0.0,2.6036792687997625,0.7652012148890552,-0.7121349824989507,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-4+4-5+-,0.0,0.0,-0.0
K2-264,K2-264 c,2019-02-05,2,0.11149513423883578,0.00095,-0.00097,8.195502228674822,2.522835132030213,-2.0717741551386215,0.45,0.0,0.0,89.49,0.26,-0.215,0.0,0.36769552621700474,-0.3040559159102154,01+1-2+-5+-,0.0,0.36769552621700474,-0.3040559159102154
Kepler-1693,Kepler-1693 c,2021-12-05,2,0.059,0.0,0.0,0.7677483319018311,0.8470920033550403,-0.46615462083722464,0.0,0.0,0.0,88.24,0.0,0.0,1.710000000000008,0.0,-0.0,01+1-2+-3+3-4+4-5+-,1.710000000000008,0.0,-0.0
Kepler-370,Kepler-370 b,2014-05-14,2,0.053607108298948124,0.0,0.0,2.2578090763190666,1.971784724042167,-1.2884201806727176,0.0,0.0,0.0,89.95,0.0,0.0,-0.5700000000000074,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-0.5700000000000074,0.0,-0.0
Kepler-373,Kepler-373 c,2014-05-14,2,0.1257,0.0,0.0,1.9673198618921193,1.8699624121807528,-1.2218183556203512,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-42,Kepler-42 c,2014-05-14,3,0.005988214997476509,0.00028,-0.00028,0.6057781931776857,0.6276879666686362,-0.35236658175661834,0.0,0.1,0.0,79.805,0.0,0.0,0.0,0.0,-0.0,02+-3+3-5+-,0.0,0.0,-0.0
Kepler-750,Kepler-750 c,2016-05-06,2,0.05276487036159318,0.0,0.0,3.3334115104851745,2.5764796501328786,-1.9565778771478903,0.0,0.0,0.0,88.24,0.0,0.0,1.710000000000008,0.0,-0.0,01+1-2+-3+3-4+4-5+-,1.710000000000008,0.0,-0.0
Kepler-375,Kepler-375 b,2014-05-14,2,0.1012,0.0,0.0,3.467083094937119,2.4389946871668196,-1.8328242768853173,0.0,0.0,0.0,89.38,0.0,0.0,-2.8599999999999994,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-2.8599999999999994,0.0,-0.0
Kepler-224,Kepler-224 e,2014-05-14,4,0.12628169824086993,0.0,0.0,5.161016051850943,2.199325915283219,-1.5944408718105758,0.0,0.0,0.0,89.95,0.0,0.0,-4.579999999999998,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-4.579999999999998,0.0,-0.0
