hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_abs,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84,namd_abs_mc,namd_abs_q16,namd_abs_q50,namd_abs_q84
GJ 581,GJ 581 b,2025-03-03,3,0.0406163,0.00042,-0.00044,15.8,0.3,-0.3,0.0,0.0245,-0.012,0.0,21.213203435596427,-18.384776310850235,05d+-,0.0,21.213203435596427,-18.384776310850235,0.0005333282736681575,0.00026666413683407874,,0.027932387614820545,0.0941038144984393,0.22205668906911094,,0.015330968518086848,0.056802557249716445,0.14877597261194161
GJ 581,GJ 581 c,2025-03-03,3,0.0725465,0.00076,-0.00078,5.55,0.3,-0.3,0.0595,0.07,-0.06,0.0,21.213203435596427,-89.94442728707543,05d+-,0.0,21.213203435596427,-89.94442728707543,0.0005333282736681575,0.00026666413683407874,,0.027932387614820545,0.0941038144984393,0.22205668906911094,,0.015330968518086848,0.056802557249716445,0.14877597261194161
GJ 581,GJ 581 e,2025-03-03,3,0.0284533,0.00017999999999999998,-0.00017999999999999998,1.7,0.22,-0.2,0.0,0.06,-0.015,0.0,21.213203435596427,-18.384776310850235,05d+-,0.0,21.213203435596427,-18.384776310850235,0.0005333282736681575,0.00026666413683407874,,0.027932387614820545,0.0941038144984393,0.22205668906911094,,0.015330968518086848,0.056802557249716445,0.14877597261194161
GJ 876,GJ 876 b,2024-09-16,4,0.2105,0.0005200000000000001,-0.0005200000000000001,804.076,13.861997125000002,-13.220911325,0.0338,0.002,-0.0025,0.0,1.965756851698602,-2.0223253941935257,05d+-,0.0,1.965756851698602,-2.0223253941935257,0.007201770053302724,0.003600885026651362,,0.00719898206179064,0.007678079395034018,0.008564243532711938,,0.0035771253062850056,0.0038136372575452147,0.004249535715297209
GJ 876,GJ 876 c,2021-09-20,4,0.132,5e-05,-5e-05,251.075,2.8604704400000003,-3.019384645,0.25591,0.002,-0.002,2.905000000000001,2.119457477752267,-2.1608563117431014,05d+-,2.905000000000001,2.119457477752267,-2.1608563117431014,0.007201770053302724,0.003600885026651362,,0.00719898206179064,0.007678079395034018,0.008564243532711938,,0.0035771253062850056,0.0038136372575452147,0.004249535715297209
GJ 876,GJ 876 d,2022-05-09,4,0.021,4e-07,-4e-07,7.4,0.41500000000000004,-0.405,0.124,0.052500000000000005,-0.0535,-2.905000000000001,1.965756851698602,-2.0223253941935257,05d+-,-2.905000000000001,1.965756851698602,-2.0223253941935257,0.007201770053302724,0.003600885026651362,,0.00719898206179064,0.007678079395034018,0.008564243532711938,,0.0035771253062850056,0.0038136372575452147,0.004249535715297209
GJ 876,GJ 876 e,2017-10-16,4,0.345,0.0013,-0.002,16.58,1.7,-1.7,0.04,0.021,-0.012,-2.905000000000001,1.965756851698602,-2.0223253941935257,05d+-,-2.905000000000001,1.965756851698602,-2.0223253941935257,0.007201770053302724,0.003600885026651362,,0.00719898206179064,0.007678079395034018,0.008564243532711938,,0.0035771253062850056,0.0038136372575452147,0.004249535715297209
HAT-P-11,HAT-P-11 b,2025-02-24,2,0.053,0.00062,-0.00066,25.0,2.22481,-2.22481,0.2,0.0455,-0.0465,105.45,11.8,-10.05,0,-4.960000000000008,9.711869027123461,-13.15875754013273,0.20232356248152936,0.6062513319936523,,0.19416679603162074,0.2250127478210107,0.27055270998274517,,0.5307506832581137,0.6053464596291078,0.6758556033301475
HAT-P-11,HAT-P-11 c,2025-02-24,2,4.120794151479811,0.175,-0.11,731.009,130.30964687,-130.30964687,0.604,0.03,-0.03,105.45,11.8,-10.05,05+-,0.0,13.717871555019022,-18.5969083452062,0.20232356248152936,0.6062513319936523,,0.19416679603162074,0.2250127478210107,0.27055270998274517,,0.5307506832581137,0.6053464596291078,0.6758556033301475
HD 106315,HD 106315 b,2024-12-10,2,0.0905,0.000915,-0.000965,12.6,3.2,-3.2,0.093,0.11,-0.068,0.7399999999999949,1.1623773992232473,-1.325631924781536,05d+-,0.7399999999999949,1.1623773992232473,-1.325631924781536,0.005831887747788656,0.002915943873894328,,0.0033682413296287185,0.009568653171085947,0.02084090630950266,,0.0016854013114564175,0.004775466577791352,0.010402918042139764
HD 106315,HD 106315 c,2024-12-10,2,0.15344999999999998,0.0015500000000000002,-0.0015999999999999999,14.899999999999999,4.2,-4.2,0.11599999999999999,0.10099999999999999,-0.10099999999999999,0.0,0.5656854249492381,-0.5374011537017761,05d+-,0.0,0.5656854249492381,-0.5374011537017761,0.005831887747788656,0.002915943873894328,,0.0033682413296287185,0.009568653171085947,0.02084090630950266,,0.0016854013114564175,0.004775466577791352,0.010402918042139764
HD 111232,HD 111232 b,2024-09-16,2,1.97,0.04,-0.04,2321.742200145,190.6970442,-117.437596385,0.20415,0.01,-0.01,-11.019999999999996,14.592890871928017,-21.050755811846756,05d+-,-11.019999999999996,14.592890871928017,-21.050755811846756,0.09590793229881471,0.047953966149407355,,0.09539556534446254,0.13614619666817285,0.20877533212369936,,0.04506935127514601,0.06456674078473525,0.10154368189114382
HD 111232,HD 111232 c,2023-06-12,2,18.025,3.5789999999999997,-3.1254999999999997,6159.99127027,1209.1781744300001,-764.6951472400001,0.44200000000000006,0.0635,-0.0605,0.0,16.13334831955227,-24.459530668023866,05d+-,0.0,16.13334831955227,-24.459530668023866,0.09590793229881471,0.047953966149407355,,0.09539556534446254,0.13614619666817285,0.20877533212369936,,0.04506935127514601,0.06456674078473525,0.10154368189114382
HD 118203,HD 118203 b,2025-07-17,2,0.0706080444231884,0.00057,-0.00057,689.68764319,22.883645305,-25.267358355,0.3136,0.014,-0.014,75.0,3.0,-5.0,0,5.459999999999994,13.470894550845538,-16.427492200576445,0.03439925323733392,0.3750310460284263,,0.03875178473585487,0.06600213504871455,0.16108833909512738,,0.34358959639048675,0.37555587411285063,0.4083944165415133
HD 118203,HD 118203 c,2025-05-27,2,6.24,0.15000000000000002,-0.155,3637.546118115,316.239264965,-259.030151705,0.2585,0.032,-0.027000000000000003,75.0,3.0,-5.0,05+-,0.0,19.021172413918126,-23.19310242291876,0.03439925323733392,0.3750310460284263,,0.03875178473585487,0.06600213504871455,0.16108833909512738,,0.34358959639048675,0.37555587411285063,0.4083944165415133
HD 136352,HD 136352 b,2024-02-05,3,0.0964,0.0028,-0.0028,4.72,0.45,-0.44,0.079,0.07400000000000001,-0.0665,-0.06050000000000466,0.35829771140770633,-0.23070760715676453,05d+-,-0.06050000000000466,0.35829771140770633,-0.23070760715676453,0.002109304906868246,0.001054652453434123,,0.0015190676174108235,0.003600316975017139,0.007856733823303296,,0.0007224112791892005,0.0017888421788138167,0.003974935219462868
HD 136352,HD 136352 c,2024-02-05,3,0.1721,0.005,-0.005,11.24,0.73,-0.69,0.037,0.0445,-0.027999999999999997,0.0,0.06858935777509512,-0.07212489168102786,05d+-,0.0,0.06858935777509512,-0.07212489168102786,0.002109304906868246,0.001054652453434123,,0.0015190676174108235,0.003600316975017139,0.007856733823303296,,0.0007224112791892005,0.0017888421788138167,0.003974935219462868
HD 136352,HD 136352 d,2024-03-06,3,0.425,0.012,-0.012,8.82,1.1,-1.0,0.075,0.0925,-0.0615,-1.1155000000000115,0.14816291708791374,-0.10344563789740001,05d+-,-1.1155000000000115,0.14816291708791374,-0.10344563789740001,0.002109304906868246,0.001054652453434123,,0.0015190676174108235,0.003600316975017139,0.007856733823303296,,0.0007224112791892005,0.0017888421788138167,0.003974935219462868
HD 15337,HD 15337 b,2025-02-12,2,0.0522,0.0010249999999999999,-0.0009599999999999999,7.2,0.81,-0.81,0.09,0.05,-0.05,-0.0870000000000033,0.4850773134253961,-0.40607881008493907,05d+-,-0.0870000000000033,0.4850773134253961,-0.40607881008493907,0.004413991796740418,0.002206995898370209,,0.0022884896627816506,0.005218079541471275,0.009443217454537517,,0.0011446435017491096,0.0025727815528688667,0.0047740331703851405
HD 15337,HD 15337 c,2025-02-12,2,0.1235,0.0029,-0.00275,8.11,1.68,-1.68,0.096,0.06,-0.045,0.0,0.09899494936611666,-0.09899494936611666,05d+-,0.0,0.09899494936611666,-0.09899494936611666,0.004413991796740418,0.002206995898370209,,0.0022884896627816506,0.005218079541471275,0.009443217454537517,,0.0011446435017491096,0.0025727815528688667,0.0047740331703851405
HD 206893,HD 206893 b,2022-12-05,2,10.0,1.1,-1.0,8581.366988999998,2574.4100967,-2558.5186763499996,0.185,0.09,-0.10500000000000001,0.0,12.091525958289964,-7.424621202458749,05d+-,0.0,12.091525958289964,-7.424621202458749,0.03336364116917136,0.01668182058458568,,0.031000025333810074,0.04782661196662741,0.07174950563180874,,0.015124184052100045,0.0230456571528221,0.035100095218009685
HD 206893,HD 206893 c,2022-12-05,2,3.53,0.08,-0.06,4036.4207689,381.3940884,-317.828407,0.41,0.03,-0.03,-4.700000000000017,9.028427327059791,-6.046693311223912,05d+-,-4.700000000000017,9.028427327059791,-6.046693311223912,0.03336364116917136,0.01668182058458568,,0.031000025333810074,0.04782661196662741,0.07174950563180874,,0.015124184052100045,0.0230456571528221,0.035100095218009685
HD 23472,HD 23472 b,2023-12-04,5,0.1186,0.0014,-0.0014,13.120000000000001,1.095,-7.395,0.036,0.039,-0.04,0.0,0.2262741699796952,-0.2262741699796952,05d+-,0.0,0.2262741699796952,-0.2262741699796952,0.000687098226814206,0.000343549113407103,,0.0006609858512638705,0.0015633784286102309,0.0032597459079937484,,0.00032245425313678954,0.0007939791684492396,0.001638550011952441
HD 23472,HD 23472 c,2023-12-04,5,0.1673,0.0017,-0.0017,10.295,0.9750000000000001,-7.29,0.0315,0.054,-0.043,-0.16499999999999204,0.1830874108178932,-0.17586642658563345,05d+-,-0.16499999999999204,0.1830874108178932,-0.17586642658563345,0.000687098226814206,0.000343549113407103,,0.0006609858512638705,0.0015633784286102309,0.0032597459079937484,,0.00032245425313678954,0.0007939791684492396,0.001638550011952441
HD 23472,HD 23472 d,2023-12-04,5,0.04298,0.00063,-0.00065,0.55,0.21,-0.2,0.07,0.05,-0.047,0.980000000000004,1.2106196760337244,-0.8845903006477066,05d+-,0.980000000000004,1.2106196760337244,-0.8845903006477066,0.000687098226814206,0.000343549113407103,,0.0006609858512638705,0.0015633784286102309,0.0032597459079937484,,0.00032245425313678954,0.0007939791684492396,0.001638550011952441
HD 23472,HD 23472 e,2023-12-04,5,0.068,0.001,-0.001,0.72,0.28,-0.27,0.07,0.052,-0.047,0.30000000000001137,0.8158431221748457,-0.5824087911424415,05d+-,0.30000000000001137,0.8158431221748457,-0.5824087911424415,0.000687098226814206,0.000343549113407103,,0.0006609858512638705,0.0015633784286102309,0.0032597459079937484,,0.00032245425313678954,0.0007939791684492396,0.001638550011952441
HD 23472,HD 23472 f,2023-12-04,5,0.0906,0.0014,-0.0014,0.77,0.44,-0.4,0.07,0.048,-0.051,0.12000000000000455,0.6016643582596529,-0.35777087639996635,05d+-,0.12000000000000455,0.6016643582596529,-0.35777087639996635,0.000687098226814206,0.000343549113407103,,0.0006609858512638705,0.0015633784286102309,0.0032597459079937484,,0.00032245425313678954,0.0007939791684492396,0.001638550011952441
HD 260655,HD 260655 b,2024-01-05,2,0.02933,0.00024,-0.00024,2.14,0.34,-0.34,0.039,0.043,-0.023,0.44000000000001194,0.161245154965971,-0.161245154965971,05d+-,0.44000000000001194,0.161245154965971,-0.161245154965971,0.0007462244493444912,0.0003731122246722456,,0.0004161096425398678,0.0011119116855716797,0.0022432151957854558,,0.00020693987523957714,0.0005453413762704463,0.0011265069756424494
HD 260655,HD 260655 c,2024-01-05,2,0.04749,0.00039,-0.00039,3.09,0.48,-0.48,0.038,0.036,-0.022,0.0,0.1131370849898476,-0.1131370849898476,05d+-,0.0,0.1131370849898476,-0.1131370849898476,0.0007462244493444912,0.0003731122246722456,,0.0004161096425398678,0.0011119116855716797,0.0022432151957854558,,0.00020693987523957714,0.0005453413762704463,0.0011265069756424494
HD 30177,HD 30177 b,2023-06-12,2,3.654,0.1325,-0.1385,2705.5211820100003,273.3386,-211.19764550999997,0.1915,0.018500000000000003,-0.021,0.0,20.299621474303404,-26.505190585996548,05d+-,0.0,20.299621474303404,-26.505190585996548,0.026458636090414555,0.013229318045207277,,0.03697222867959315,0.09804554054147724,0.2236773448430018,,0.0133496756546494,0.032310438806558074,0.07497394583281115
HD 30177,HD 30177 c,2023-06-12,2,10.074,0.7875000000000001,-0.76,2185.076351525,700.49627818,-546.826243395,0.1295,0.07250000000000001,-0.07650000000000001,-12.623000000000005,21.513668701548788,-30.636543359197688,05d+-,-12.623000000000005,21.513668701548788,-30.636543359197688,0.026458636090414555,0.013229318045207277,,0.03697222867959315,0.09804554054147724,0.2236773448430018,,0.0133496756546494,0.032310438806558074,0.07497394583281115
HD 62364,HD 62364 b,2023-09-05,2,6.324,0.085,-0.086,5757.461592805,361.68872716500005,-259.030151705,0.6095999999999999,0.0046,-0.005,-18.8925,4.581545699870295,-4.0484195681771915,05d+-,-18.8925,4.581545699870295,-4.0484195681771915,0.3388851640351933,0.16944258201759665,,0.33108189263857596,0.341340701427433,0.3517100741683799,,0.16068302314851896,0.16545853086258422,0.1704123393670296
HD 62364,HD 62364 c,2023-06-12,2,36.984,2.957,-2.793,7923.46218651,852.09795917,-928.69460525,0.773,0.009,-0.009,0.0,5.895856341533433,-5.0925830381055155,05d+-,0.0,5.895856341533433,-5.0925830381055155,0.3388851640351933,0.16944258201759665,,0.33108189263857596,0.341340701427433,0.3517100741683799,,0.16068302314851896,0.16545853086258422,0.1704123393670296
HD 66428,HD 66428 b,2023-06-12,2,3.455,0.0695,-0.0695,1013.87261833,34.96112477,-34.96112477,0.465,0.015,-0.015,77.299,57.89453039795728,-55.554858086399605,05d+-,77.299,57.89453039795728,-55.554858086399605,0.10687828112235888,0.05343914056117944,,0.11662477228706185,0.3026158161849269,0.6642504719289928,,0.0856357529268126,0.25081921728988765,0.6139664107624843
HD 66428,HD 66428 c,2023-06-12,2,16.204,10.4725,-4.4334999999999996,4571.008149475,4037.056425715,-2708.056941845,0.2635,0.1635,-0.129,0.0,80.61441569595354,-78.45491158620982,05d+-,0.0,80.61441569595354,-78.45491158620982,0.10687828112235888,0.05343914056117944,,0.11662477228706185,0.3026158161849269,0.6642504719289928,,0.0856357529268126,0.25081921728988765,0.6139664107624843
HD 72659,HD 72659 b,2023-06-12,2,4.6715,0.097,-0.097,975.71585,60.3877,-44.4962,0.253,0.028999999999999998,-0.028499999999999998,-63.304,40.13617271240496,-39.84509642352494,05d+-,-63.304,40.13617271240496,-39.84509642352494,0.05257422353426104,0.02628711176713052,,0.019283414508873834,0.045781331840821754,0.079153959620563,,0.0039034487652514307,0.007428215402474304,0.014056397132101163
HD 72659,HD 72659 c,2023-06-12,2,13.959,0.884,-0.861,5977.08102204,1411.79378389,-1524.30503997,0.091,0.055,-0.048,0.0,6.174456413320932,-3.7872639200351483,05d+-,0.0,6.174456413320932,-3.7872639200351483,0.05257422353426104,0.02628711176713052,,0.019283414508873834,0.045781331840821754,0.079153959620563,,0.0039034487652514307,0.007428215402474304,0.014056397132101163
HD 73267,HD 73267 b,2023-06-12,2,2.1965,0.0245,-0.025,1152.925013155,118.220572585,-92.476471615,0.2585,0.00705,-0.006999999999999999,-2.997,19.52859692860703,-22.31989921572228,05d+-,-2.997,19.52859692860703,-22.31989921572228,0.013413389961196315,0.006706694980598157,,0.02792665896346405,0.06867304165532592,0.169425117260401,,0.013160822573629874,0.032155776256624996,0.0820431687333588
HD 73267,HD 73267 c,2024-04-19,2,11.844000000000001,1.5655000000000001,-1.5060000000000002,1514.61127356,415.08389953999995,-219.61942923499998,0.1115,0.0715,-0.058499999999999996,0.0,20.213354446998647,-28.989963815086078,05d+-,0.0,20.213354446998647,-28.989963815086078,0.013413389961196315,0.006706694980598157,,0.02792665896346405,0.06867304165532592,0.169425117260401,,0.013160822573629874,0.032155776256624996,0.0820431687333588
HD 73583,HD 73583 b,2024-02-21,2,0.0604,0.002,-0.002,13.05,4.35,-3.5,0.192,0.11,-0.061,0.23699999999999477,0.44418464629025617,-0.5094173141933831,05d+-,0.23699999999999477,0.44418464629025617,-0.5094173141933831,0.009122619394038545,0.0045613096970192725,,0.005331922885638902,0.01232776887650106,0.023057190908898597,,0.0026578976986046292,0.006113309475792647,0.011572924339483768
HD 73583,HD 73583 c,2024-02-21,2,0.12375,0.0034999999999999996,-0.00345,16.1,3.4,-3.6,0.0865,0.12,-0.063,0.0,0.3252691193458119,-0.36062445840513924,05d+-,0.0,0.3252691193458119,-0.36062445840513924,0.009122619394038545,0.0045613096970192725,,0.005331922885638902,0.01232776887650106,0.023057190908898597,,0.0026578976986046292,0.006113309475792647,0.011572924339483768
K2-138,K2-138 b,2021-03-12,6,0.0338,0.00024,-0.00029,3.1,1.05,-1.05,0.2255,0.054,-0.033,1.5,1.63783393541592,-1.6352675622050357,05d+-,1.5,1.63783393541592,-1.6352675622050357,0.01569699903227473,0.007848499516137366,,0.012317298996031848,0.01615119441221563,0.02096313480697285,,0.006106660178242009,0.008081157435123845,0.010494593936642626
K2-138,K2-138 c,2021-03-12,6,0.04454,0.00032,-0.00038,6.31,1.13,-1.23,0.17049999999999998,0.051,-0.032,0.6000000000000085,1.103856874780422,-1.1150784725749125,05d+-,0.6000000000000085,1.103856874780422,-1.1150784725749125,0.01569699903227473,0.007848499516137366,,0.012317298996031848,0.01615119441221563,0.02096313480697285,,0.006106660178242009,0.008081157435123845,0.010494593936642626
K2-138,K2-138 d,2021-03-12,6,0.05883,0.00042,-0.0005,7.92,1.39,-1.35,0.19549999999999998,0.041,-0.03,-0.29999999999999716,0.8697700845625814,-0.9300537618869137,05d+-,-0.29999999999999716,0.8697700845625814,-0.9300537618869137,0.01569699903227473,0.007848499516137366,,0.012317298996031848,0.01615119441221563,0.02096313480697285,,0.006106660178242009,0.008081157435123845,0.010494593936642626
K2-138,K2-138 e,2023-12-14,6,0.0782,0.00056,-0.00066,12.97,1.98,-1.99,0.196,0.048,-0.049,0.0,0.8626702730475879,-0.7778174593052023,05d+-,0.0,0.8626702730475879,-0.7778174593052023,0.01569699903227473,0.007848499516137366,,0.012317298996031848,0.01615119441221563,0.02096313480697285,,0.006106660178242009,0.008081157435123845,0.010494593936642626
K2-138,K2-138 f,2021-03-12,6,0.10447,0.00074,-0.00088,1.63,2.12,-1.18,0.213,0.064,-0.043,-0.28999999999999204,0.7463243262818116,-0.6519202405202649,05d+-,-0.28999999999999204,0.7463243262818116,-0.6519202405202649,0.01569699903227473,0.007848499516137366,,0.012317298996031848,0.01615119441221563,0.02096313480697285,,0.006106660178242009,0.008081157435123845,0.010494593936642626
K2-138,K2-138 g,2021-03-12,6,0.229895,0.013219999999999999,-0.01253,4.32,5.26,-3.03,0.059,0.063,-0.04,-0.644999999999996,0.6611542936410532,-0.5869625200981746,05d+-,-0.644999999999996,0.6611542936410532,-0.5869625200981746,0.01569699903227473,0.007848499516137366,,0.012317298996031848,0.01615119441221563,0.02096313480697285,,0.006106660178242009,0.008081157435123845,0.010494593936642626
K2-146,K2-146 b,2021-07-12,2,0.0252271460900559,0.0002,-0.0002,5.685,0.43999999999999995,-0.43999999999999995,0.1345,0.044500000000000005,-0.044500000000000005,-1.440000000000012,0.20808652046684809,-0.20808652046684809,05d+-,-1.440000000000012,0.20808652046684809,-0.20808652046684809,0.007925209582229501,0.003962604791114751,,0.005050827334398893,0.008476004375049875,0.012989422162419934,,0.002409332095005656,0.004156147829342377,0.006383401577919919
K2-146,K2-146 c,2021-07-12,2,0.033420541015737895,0.0006,-0.0006,7.295,0.5700000000000001,-0.5700000000000001,0.1175,0.043000000000000003,-0.043000000000000003,0.0,0.24041630560342614,-0.24041630560342614,05d+-,0.0,0.24041630560342614,-0.24041630560342614,0.007925209582229501,0.003962604791114751,,0.005050827334398893,0.008476004375049875,0.012989422162419934,,0.002409332095005656,0.004156147829342377,0.006383401577919919
K2-199,K2-199 b,2022-03-28,2,0.0382,0.00035,-0.00035,6.9,1.8,-1.8,0.02,0.03,-0.02,0.9019799999999947,1.5561450640926764,-2.699713323540112,05d+-,0.9019799999999947,1.5561450640926764,-2.699713323540112,0.0004126828676537586,0.0002063414338268793,,0.0005981838024596359,0.001468523603643629,0.003225982821631118,,0.0002984965406035696,0.0007150681261175398,0.0016050293344666586
K2-199,K2-199 c,2024-03-04,2,0.06658024031060139,0.0006000000000000001,-0.0006000000000000001,12.4,2.3,-2.3,0.03,0.06,-0.03,0.0,1.112448672433924,-1.7697044255468202,05d+-,0.0,1.112448672433924,-1.7697044255468202,0.0004126828676537586,0.0002063414338268793,,0.0005981838024596359,0.001468523603643629,0.003225982821631118,,0.0002984965406035696,0.0007150681261175398,0.0016050293344666586
K2-3,K2-3 b,2024-12-10,3,0.0769,0.0029,-0.0029,6.54,1.05,-1.045,0.06,0.058499999999999996,-0.0595,0.0,0.4101219330881976,-0.43840620433565947,05d+-,0.0,0.4101219330881976,-0.43840620433565947,0.001317408367877922,0.000658704183938961,,0.001198676295886349,0.002993056340658405,0.006172920083437265,,0.0005806361714451149,0.0014548887164592505,0.0029876257352447516
K2-3,K2-3 c,2023-07-10,3,0.1399,0.0052499999999999995,-0.0052499999999999995,2.89,1.2,-1.2,0.04,0.056499999999999995,-0.037500000000000006,-0.27600000000001046,0.32882366094914767,-0.3535533905932738,05d+-,-0.27600000000001046,0.32882366094914767,-0.3535533905932738,0.001317408367877922,0.000658704183938961,,0.001198676295886349,0.002993056340658405,0.006172920083437265,,0.0005806361714451149,0.0014548887164592505,0.0029876257352447516
K2-3,K2-3 d,2023-07-10,3,0.2076,0.0086,-0.0086,2.500034135,3.25,-3.25,0.045,0.08249999999999999,-0.0545,-0.29399999999999693,0.31988279103446626,-0.3361547262794322,05d+-,-0.29399999999999693,0.31988279103446626,-0.3361547262794322,0.001317408367877922,0.000658704183938961,,0.001198676295886349,0.002993056340658405,0.006172920083437265,,0.0005806361714451149,0.0014548887164592505,0.0029876257352447516
K2-32,K2-32 b,2021-05-17,4,0.08036,0.00089,-0.00089,16.5,2.7,-2.7,0.0,0.032,-0.021,0.0,0.8577488098505296,-1.218797532324381,05d+-,0.0,0.8577488098505296,-1.218797532324381,4.323839508499887e-05,2.1619197542499435e-05,,0.0003887101843467951,0.000754014851491716,0.0014191792814019567,,0.00017719979822068265,0.0003571223652302461,0.0006918721151067477
K2-32,K2-32 c,2021-05-17,4,0.1399,0.0016,-0.0016,8.1,2.4,-2.4,0.0,0.046,-0.035,-0.2747399999999942,0.7926815547872929,-1.2510075748771468,05d+-,-0.2747399999999942,0.7926815547872929,-1.2510075748771468,4.323839508499887e-05,2.1619197542499435e-05,,0.0003887101843467951,0.000754014851491716,0.0014191792814019567,,0.00017719979822068265,0.0003571223652302461,0.0006918721151067477
