,hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84
0,14 Her,14 Her b,2023-06-12,2,2.81,0.065,-0.065,1523.958886975,47.6745,-47.6745,0.3681999999999999,0.0065,-0.0055,-15.554999999999978,8.862892642924205,-29.231227856523574,05d+-,-15.554999999999978,8.862892642924205,-29.231227856523574,0.09632236496681301,,0.08575439005698886,0.13584111457818382,0.22564613990094162
1,14 Her,14 Her c,2023-06-12,2,14.162,5.298,-2.7265,1720.24625289,361.211984555,-328.475658635,0.4215,0.1075,-0.099,0.0,8.845905832643709,-41.08431820050078,05d+-,0.0,8.845905832643709,-41.08431820050078,0.09632236496681301,,0.08575439005698886,0.13584111457818382,0.22564613990094162
10,55 Cnc,55 Cnc b,2022-05-09,5,0.1144,0.0006,-0.0006,262.92975,7.311769290000001,-7.311769290000001,0.0094,0.008,-0.008,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
11,55 Cnc,55 Cnc c,2021-09-20,5,0.239,0.0013,-0.0013,54.0298288,2.320333745,-2.288333745,0.0615,0.031,-0.03,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
12,55 Cnc,55 Cnc d,2021-09-20,5,5.5215,0.1,-0.1,1219.6235,103.294550875,-63.563550875,0.0965,0.025,-0.025,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
13,55 Cnc,55 Cnc e,2025-04-16,5,0.01544,9e-05,-9e-05,8.09479,0.37,-0.35,0.045,0.034,-0.03,23.0,15.0,-12.0,0,5.215000000000003,24.54893276702676,-24.56036644677762,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
14,55 Cnc,55 Cnc f,2021-09-20,5,0.775,0.005,-0.005,46.87969003,3.814,-2.98758703,0.142,0.075,-0.066,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.004581581481058312,,0.021082116179146022,0.09008793543018101,0.33851091922954235
69,EPIC 249893012,EPIC 249893012 b,2020-02-06,3,0.047,0.005,-0.007,8.75,1.09,-1.08,0.06,0.08,-0.04,1.7999999999999972,2.7032572944505304,-3.654107278118692,05d+-,1.7999999999999972,2.7032572944505304,-3.654107278118692,0.0061058051135289984,,0.003935052769160206,0.01050836299731121,0.025931433268524404
70,EPIC 249893012,EPIC 249893012 c,2020-02-06,3,0.13,0.01,-0.02,14.67,1.84,-1.89,0.07,0.08,-0.05,0.0,1.0465180361560904,-1.4849242404917498,05d+-,0.0,1.0465180361560904,-1.4849242404917498,0.0061058051135289984,,0.003935052769160206,0.01050836299731121,0.025931433268524404
71,EPIC 249893012,EPIC 249893012 d,2020-02-06,3,0.22,0.02,-0.04,10.18,2.46,-2.42,0.15,0.21,-0.11,-1.5300000000000011,0.8229216244576394,-1.1629703349613008,05d+-,-1.5300000000000011,0.8229216244576394,-1.1629703349613008,0.0061058051135289984,,0.003935052769160206,0.01050836299731121,0.025931433268524404
136,GJ 581,GJ 581 b,2025-03-03,3,0.0406163,0.00042,-0.00044,15.8,0.3,-0.3,0.0,0.0245,-0.012,0.0,21.213203435596427,-18.384776310850235,05d+-,0.0,21.213203435596427,-18.384776310850235,0.0005333282736681575,,0.03012581202423945,0.11061222031016447,0.29030374177619117
137,GJ 581,GJ 581 c,2025-03-03,3,0.0725465,0.00076,-0.00078,5.55,0.3,-0.3,0.0595,0.07,-0.06,0.0,21.213203435596427,-89.94442728707543,05d+-,0.0,21.213203435596427,-89.94442728707543,0.0005333282736681575,,0.03012581202423945,0.11061222031016447,0.29030374177619117
138,GJ 581,GJ 581 e,2025-03-03,3,0.0284533,0.0001799999999999,-0.0001799999999999,1.7,0.22,-0.2,0.0,0.06,-0.015,0.0,21.213203435596427,-18.384776310850235,05d+-,0.0,21.213203435596427,-18.384776310850235,0.0005333282736681575,,0.03012581202423945,0.11061222031016447,0.29030374177619117
156,GJ 876,GJ 876 b,2024-09-16,4,0.2105,0.00052,-0.00052,804.076,13.861997125000002,-13.220911325,0.0338,0.002,-0.0025,0.0,1.965756851698602,-2.0223253941935257,05d+-,0.0,1.965756851698602,-2.0223253941935257,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
157,GJ 876,GJ 876 c,2021-09-20,4,0.132,5e-05,-5e-05,251.075,2.8604704400000003,-3.019384645,0.25591,0.002,-0.002,2.905000000000001,2.119457477752267,-2.160856311743101,05d+-,2.905000000000001,2.119457477752267,-2.160856311743101,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
158,GJ 876,GJ 876 d,2022-05-09,4,0.021,4e-07,-4e-07,7.4,0.415,-0.405,0.124,0.0525,-0.0535,-2.905000000000001,1.965756851698602,-2.0223253941935257,05d+-,-2.905000000000001,1.965756851698602,-2.0223253941935257,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
159,GJ 876,GJ 876 e,2017-10-16,4,0.345,0.0013,-0.002,16.58,1.7,-1.7,0.04,0.021,-0.012,-2.905000000000001,1.965756851698602,-2.0223253941935257,05d+-,-2.905000000000001,1.965756851698602,-2.0223253941935257,0.007201770053302724,,0.0071464843505719845,0.007637578478569612,0.008438852395746054
165,HAT-P-11,HAT-P-11 b,2025-02-24,2,0.053,0.00062,-0.00066,25.0,2.22481,-2.22481,0.2,0.0455,-0.0465,105.45,11.8,-10.05,0,-4.960000000000008,9.71186902712346,-13.15875754013273,0.20232356248152936,,0.19430174854928847,0.2243343631804539,0.2718503916172174
166,HAT-P-11,HAT-P-11 c,2025-02-24,2,4.120794151479811,0.175,-0.11,731.009,130.30964687,-130.30964687,0.604,0.03,-0.03,105.45,11.8,-10.05,05+-,0.0,13.717871555019022,-18.5969083452062,0.20232356248152936,,0.19430174854928847,0.2243343631804539,0.2718503916172174
189,HD 106315,HD 106315 b,2024-12-10,2,0.0905,0.000915,-0.000965,12.6,3.2,-3.2,0.093,0.11,-0.068,0.7399999999999949,1.1623773992232471,-1.325631924781536,05d+-,0.7399999999999949,1.1623773992232471,-1.325631924781536,0.005831887747788655,,0.003371242921946997,0.009499350609523886,0.0206458920887415
190,HD 106315,HD 106315 c,2024-12-10,2,0.1534499999999999,0.00155,-0.0015999999999999,14.9,4.2,-4.2,0.1159999999999999,0.1009999999999999,-0.1009999999999999,0.0,0.5656854249492381,-0.5374011537017761,05d+-,0.0,0.5656854249492381,-0.5374011537017761,0.005831887747788655,,0.003371242921946997,0.009499350609523886,0.0206458920887415
212,HD 111232,HD 111232 b,2024-09-16,2,1.97,0.04,-0.04,2321.742200145,190.6970442,-117.437596385,0.20415,0.01,-0.01,-11.019999999999996,14.592890871928017,-21.05075581184676,05d+-,-11.019999999999996,14.592890871928017,-21.05075581184676,0.09590793229881471,,0.09032018865599471,0.1297487634300924,0.20137049643924207
213,HD 111232,HD 111232 c,2023-06-12,2,18.025,3.579,-3.1255,6159.99127027,1209.17817443,-764.6951472400001,0.442,0.0635,-0.0605,0.0,16.13334831955227,-24.459530668023863,05d+-,0.0,16.13334831955227,-24.459530668023863,0.09590793229881471,,0.09032018865599471,0.1297487634300924,0.20137049643924207
227,HD 118203,HD 118203 b,2025-07-17,2,0.0706080444231884,0.00057,-0.00057,689.68764319,22.883645305,-25.267358355,0.3136,0.014,-0.014,75.0,3.0,-5.0,0,5.459999999999994,13.470894550845538,-16.427492200576445,0.03439925323733392,,0.038315368699216444,0.06561077848822586,0.16061539972237385
228,HD 118203,HD 118203 c,2025-05-27,2,6.24,0.15,-0.155,3637.546118115,316.239264965,-259.030151705,0.2585,0.032,-0.027,75.0,3.0,-5.0,05+-,0.0,19.021172413918126,-23.19310242291876,0.03439925323733392,,0.038315368699216444,0.06561077848822586,0.16061539972237385
252,HD 136352,HD 136352 b,2024-02-05,3,0.0964,0.0028,-0.0028,4.72,0.45,-0.44,0.079,0.074,-0.0665,-0.0605000000000046,0.3582977114077063,-0.2307076071567645,05d+-,-0.0605000000000046,0.3582977114077063,-0.2307076071567645,0.002109304906868246,,0.0007666725187881321,0.0021812773301245676,0.004596476295035251
253,HD 136352,HD 136352 c,2024-02-05,3,0.1721,0.005,-0.005,11.24,0.73,-0.69,0.037,0.0445,-0.0279999999999999,0.0,0.0685893577750951,-0.0721248916810278,05d+-,0.0,0.0685893577750951,-0.0721248916810278,0.002109304906868246,,0.0007666725187881321,0.0021812773301245676,0.004596476295035251
254,HD 136352,HD 136352 d,2024-03-06,3,0.425,0.012,-0.012,8.82,1.1,-1.0,0.075,0.0925,-0.0615,-1.1155000000000117,0.1481629170879137,-0.1034456378974,05d+-,-1.1155000000000117,0.1481629170879137,-0.1034456378974,0.002109304906868246,,0.0007666725187881321,0.0021812773301245676,0.004596476295035251
282,HD 15337,HD 15337 b,2025-02-12,2,0.0522,0.0010249999999999,-0.0009599999999999,7.2,0.81,-0.81,0.09,0.05,-0.05,-0.0870000000000033,0.4850773134253961,-0.406078810084939,05d+-,-0.0870000000000033,0.4850773134253961,-0.406078810084939,0.004413991796740418,,0.002309749113842839,0.005215001996570694,0.009637824460219449
283,HD 15337,HD 15337 c,2025-02-12,2,0.1235,0.0029,-0.00275,8.11,1.68,-1.68,0.096,0.06,-0.045,0.0,0.0989949493661166,-0.0989949493661166,05d+-,0.0,0.0989949493661166,-0.0989949493661166,0.004413991796740418,,0.002309749113842839,0.005215001996570694,0.009637824460219449
365,HD 206893,HD 206893 b,2022-12-05,2,10.0,1.1,-1.0,8581.366988999998,2574.4100967,-2558.51867635,0.185,0.09,-0.105,0.0,12.091525958289964,-7.424621202458749,05d+-,0.0,12.091525958289964,-7.424621202458749,0.03336364116917136,,0.029767548624943834,0.04584661731467332,0.07007737836544028
366,HD 206893,HD 206893 c,2022-12-05,2,3.53,0.08,-0.06,4036.4207689,381.3940884,-317.828407,0.41,0.03,-0.03,-4.700000000000017,9.028427327059791,-6.046693311223912,05d+-,-4.700000000000017,9.028427327059791,-6.046693311223912,0.03336364116917136,,0.029767548624943834,0.04584661731467332,0.07007737836544028
405,HD 23472,HD 23472 b,2023-12-04,5,0.1186,0.0014,-0.0014,13.12,1.095,-7.395,0.036,0.039,-0.04,0.0,0.2262741699796952,-0.2262741699796952,05d+-,0.0,0.2262741699796952,-0.2262741699796952,0.0006870982268142061,,0.0006572874789112027,0.0015893755872292434,0.0033295273079476284
406,HD 23472,HD 23472 c,2023-12-04,5,0.1673,0.0017,-0.0017,10.295,0.975,-7.29,0.0315,0.054,-0.043,-0.164999999999992,0.1830874108178932,-0.1758664265856334,05d+-,-0.164999999999992,0.1830874108178932,-0.1758664265856334,0.0006870982268142061,,0.0006572874789112027,0.0015893755872292434,0.0033295273079476284
407,HD 23472,HD 23472 d,2023-12-04,5,0.04298,0.00063,-0.00065,0.55,0.21,-0.2,0.07,0.05,-0.047,0.980000000000004,1.2106196760337244,-0.8845903006477066,05d+-,0.980000000000004,1.2106196760337244,-0.8845903006477066,0.0006870982268142061,,0.0006572874789112027,0.0015893755872292434,0.0033295273079476284
408,HD 23472,HD 23472 e,2023-12-04,5,0.068,0.001,-0.001,0.72,0.28,-0.27,0.07,0.052,-0.047,0.3000000000000113,0.8158431221748457,-0.5824087911424415,05d+-,0.3000000000000113,0.8158431221748457,-0.5824087911424415,0.0006870982268142061,,0.0006572874789112027,0.0015893755872292434,0.0033295273079476284
409,HD 23472,HD 23472 f,2023-12-04,5,0.0906,0.0014,-0.0014,0.77,0.44,-0.4,0.07,0.048,-0.051,0.1200000000000045,0.6016643582596529,-0.3577708763999663,05d+-,0.1200000000000045,0.6016643582596529,-0.3577708763999663,0.0006870982268142061,,0.0006572874789112027,0.0015893755872292434,0.0033295273079476284
416,HD 260655,HD 260655 b,2024-01-05,2,0.02933,0.00024,-0.00024,2.14,0.34,-0.34,0.039,0.043,-0.023,0.4400000000000119,0.161245154965971,-0.161245154965971,05d+-,0.4400000000000119,0.161245154965971,-0.161245154965971,0.0007462244493444912,,0.00041984385119886507,0.0011083916723630721,0.002244694397388674
417,HD 260655,HD 260655 c,2024-01-05,2,0.04749,0.00039,-0.00039,3.09,0.48,-0.48,0.038,0.036,-0.022,0.0,0.1131370849898476,-0.1131370849898476,05d+-,0.0,0.1131370849898476,-0.1131370849898476,0.0007462244493444912,,0.00041984385119886507,0.0011083916723630721,0.002244694397388674
426,HD 30177,HD 30177 b,2023-06-12,2,3.654,0.1325,-0.1385,2705.5211820100003,273.3386,-211.19764551,0.1915,0.0185,-0.021,0.0,20.299621474303404,-26.505190585996548,05d+-,0.0,20.299621474303404,-26.505190585996548,0.026458636090414555,,0.026716802298276193,0.06422552909868232,0.14913019078060083
427,HD 30177,HD 30177 c,2023-06-12,2,10.074,0.7875000000000001,-0.76,2185.076351525,700.49627818,-546.826243395,0.1295,0.0725,-0.0765,-12.623000000000005,21.513668701548788,-30.636543359197688,05d+-,-12.623000000000005,21.513668701548788,-30.636543359197688,0.026458636090414555,,0.026716802298276193,0.06422552909868232,0.14913019078060083
497,HD 62364,HD 62364 b,2023-09-05,2,6.324,0.085,-0.086,5757.461592805,361.6887271650001,-259.030151705,0.6095999999999999,0.0046,-0.005,-18.8925,4.581545699870295,-4.048419568177192,05d+-,-18.8925,4.581545699870295,-4.048419568177192,0.3388851640351933,,0.3571317509582484,0.3683222084951193,0.38012718133275364
498,HD 62364,HD 62364 c,2023-06-12,2,36.984,2.957,-2.793,7923.46218651,852.09795917,-928.69460525,0.773,0.009,-0.009,0.0,5.895856341533433,-5.092583038105516,05d+-,0.0,5.895856341533433,-5.092583038105516,0.3388851640351933,,0.3571317509582484,0.3683222084951193,0.38012718133275364
506,HD 66428,HD 66428 b,2023-06-12,2,3.455,0.0695,-0.0695,1013.87261833,34.96112477,-34.96112477,0.465,0.015,-0.015,77.299,57.89453039795728,-55.554858086399605,05d+-,77.299,57.89453039795728,-55.554858086399605,0.10687828112235888,,0.17152923473541568,0.5020257542880566,1.2343107953437675
507,HD 66428,HD 66428 c,2023-06-12,2,16.204,10.4725,-4.4335,4571.008149475,4037.056425715,-2708.056941845,0.2635,0.1635,-0.129,0.0,80.61441569595354,-78.45491158620982,05d+-,0.0,80.61441569595354,-78.45491158620982,0.10687828112235888,,0.17152923473541568,0.5020257542880566,1.2343107953437675
515,HD 72659,HD 72659 b,2023-06-12,2,4.6715,0.097,-0.097,975.71585,60.3877,-44.4962,0.253,0.0289999999999999,-0.0284999999999999,-63.304,40.13617271240496,-39.84509642352494,05d+-,-63.304,40.13617271240496,-39.84509642352494,0.05257422353426104,,0.00774759306336372,0.014738770495220486,0.027842110244549544
516,HD 72659,HD 72659 c,2023-06-12,2,13.959,0.884,-0.861,5977.08102204,1411.79378389,-1524.30503997,0.091,0.055,-0.048,0.0,6.174456413320932,-3.787263920035148,05d+-,0.0,6.174456413320932,-3.787263920035148,0.05257422353426104,,0.00774759306336372,0.014738770495220486,0.027842110244549544
517,HD 73267,HD 73267 b,2023-06-12,2,2.1965,0.0245,-0.025,1152.925013155,118.220572585,-92.476471615,0.2585,0.00705,-0.0069999999999999,-2.997,19.52859692860703,-22.31989921572228,05d+-,-2.997,19.52859692860703,-22.31989921572228,0.013413389961196318,,0.0261824436819214,0.06356765385859853,0.1631405604622011
518,HD 73267,HD 73267 c,2024-04-19,2,11.844,1.5655,-1.5060000000000002,1514.61127356,415.08389954,-219.619429235,0.1115,0.0715,-0.0584999999999999,0.0,20.213354446998647,-28.98996381508608,05d+-,0.0,20.213354446998647,-28.98996381508608,0.013413389961196318,,0.0261824436819214,0.06356765385859853,0.1631405604622011
524,HD 73583,HD 73583 b,2024-02-21,2,0.0604,0.002,-0.002,13.05,4.35,-3.5,0.192,0.11,-0.061,0.2369999999999947,0.4441846462902561,-0.5094173141933831,05d+-,0.2369999999999947,0.4441846462902561,-0.5094173141933831,0.009122619394038545,,0.005274087303313917,0.012184399070024879,0.02300974050080901
525,HD 73583,HD 73583 c,2024-02-21,2,0.12375,0.0034999999999999,-0.00345,16.1,3.4,-3.6,0.0865,0.12,-0.063,0.0,0.3252691193458119,-0.3606244584051392,05d+-,0.0,0.3252691193458119,-0.3606244584051392,0.009122619394038545,,0.005274087303313917,0.012184399070024879,0.02300974050080901
619,K2-138,K2-138 b,2021-03-12,6,0.0338,0.00024,-0.00029,3.1,1.05,-1.05,0.2255,0.054,-0.033,1.5,1.63783393541592,-1.6352675622050357,05d+-,1.5,1.63783393541592,-1.6352675622050357,0.01569699903227473,,0.012226333424945012,0.016191831973250997,0.020948873022615385
620,K2-138,K2-138 c,2021-03-12,6,0.04454,0.00032,-0.00038,6.31,1.13,-1.23,0.1704999999999999,0.051,-0.032,0.6000000000000085,1.103856874780422,-1.1150784725749123,05d+-,0.6000000000000085,1.103856874780422,-1.1150784725749123,0.01569699903227473,,0.012226333424945012,0.016191831973250997,0.020948873022615385
621,K2-138,K2-138 d,2021-03-12,6,0.05883,0.00042,-0.0005,7.92,1.39,-1.35,0.1954999999999999,0.041,-0.03,-0.2999999999999971,0.8697700845625814,-0.9300537618869136,05d+-,-0.2999999999999971,0.8697700845625814,-0.9300537618869136,0.01569699903227473,,0.012226333424945012,0.016191831973250997,0.020948873022615385
622,K2-138,K2-138 e,2023-12-14,6,0.0782,0.00056,-0.00066,12.97,1.98,-1.99,0.196,0.048,-0.049,0.0,0.8626702730475879,-0.7778174593052023,05d+-,0.0,0.8626702730475879,-0.7778174593052023,0.01569699903227473,,0.012226333424945012,0.016191831973250997,0.020948873022615385
623,K2-138,K2-138 f,2021-03-12,6,0.10447,0.00074,-0.00088,1.63,2.12,-1.18,0.213,0.064,-0.043,-0.289999999999992,0.7463243262818116,-0.6519202405202649,05d+-,-0.289999999999992,0.7463243262818116,-0.6519202405202649,0.01569699903227473,,0.012226333424945012,0.016191831973250997,0.020948873022615385
624,K2-138,K2-138 g,2021-03-12,6,0.229895,0.0132199999999999,-0.01253,4.32,5.26,-3.03,0.059,0.063,-0.04,-0.644999999999996,0.6611542936410532,-0.5869625200981746,05d+-,-0.644999999999996,0.6611542936410532,-0.5869625200981746,0.01569699903227473,,0.012226333424945012,0.016191831973250997,0.020948873022615385
627,K2-146,K2-146 b,2021-07-12,2,0.0252271460900559,0.0002,-0.0002,5.685,0.4399999999999999,-0.4399999999999999,0.1345,0.0445,-0.0445,-1.440000000000012,0.208086520466848,-0.208086520466848,05d+-,-1.440000000000012,0.208086520466848,-0.208086520466848,0.007925209582229501,,0.002848782738029567,0.0069652659008275775,0.012949788221240991
628,K2-146,K2-146 c,2021-07-12,2,0.0334205410157378,0.0006,-0.0006,7.295,0.5700000000000001,-0.5700000000000001,0.1175,0.043,-0.043,0.0,0.2404163056034261,-0.2404163056034261,05d+-,0.0,0.2404163056034261,-0.2404163056034261,0.007925209582229501,,0.002848782738029567,0.0069652659008275775,0.012949788221240991
681,K2-199,K2-199 b,2022-03-28,2,0.0382,0.00035,-0.00035,6.9,1.8,-1.8,0.02,0.03,-0.02,0.9019799999999948,1.5561450640926764,-2.699713323540112,05d+-,0.9019799999999948,1.5561450640926764,-2.699713323540112,0.0004126828676537586,,0.000600263774859769,0.00146809738324811,0.003231433904384959
682,K2-199,K2-199 c,2024-03-04,2,0.0665802403106013,0.0006,-0.0006,12.4,2.3,-2.3,0.03,0.06,-0.03,0.0,1.112448672433924,-1.7697044255468202,05d+-,0.0,1.112448672433924,-1.7697044255468202,0.0004126828676537586,,0.000600263774859769,0.00146809738324811,0.003231433904384959
735,K2-3,K2-3 b,2024-12-10,3,0.0769,0.0029,-0.0029,6.54,1.05,-1.045,0.06,0.0584999999999999,-0.0595,0.0,0.4101219330881976,-0.4384062043356594,05d+-,0.0,0.4101219330881976,-0.4384062043356594,0.001317408367877922,,0.0011633734544434175,0.002908203354642367,0.005928659845227432
736,K2-3,K2-3 c,2023-07-10,3,0.1399,0.0052499999999999,-0.0052499999999999,2.89,1.2,-1.2,0.04,0.0564999999999999,-0.0375,-0.2760000000000104,0.3288236609491476,-0.3535533905932738,05d+-,-0.2760000000000104,0.3288236609491476,-0.3535533905932738,0.001317408367877922,,0.0011633734544434175,0.002908203354642367,0.005928659845227432
737,K2-3,K2-3 d,2023-07-10,3,0.2076,0.0086,-0.0086,2.500034135,3.25,-3.25,0.045,0.0824999999999999,-0.0545,-0.2939999999999969,0.3198827910344662,-0.3361547262794322,05d+-,-0.2939999999999969,0.3198827910344662,-0.3361547262794322,0.001317408367877922,,0.0011633734544434175,0.002908203354642367,0.005928659845227432
740,K2-32,K2-32 b,2021-05-17,4,0.08036,0.00089,-0.00089,16.5,2.7,-2.7,0.0,0.032,-0.021,0.0,0.8577488098505296,-1.218797532324381,05d+-,0.0,0.8577488098505296,-1.218797532324381,4.323839508499887e-05,,0.0003565676207777461,0.0007325190137628871,0.0013762051814526408
741,K2-32,K2-32 c,2021-05-17,4,0.1399,0.0016,-0.0016,8.1,2.4,-2.4,0.0,0.046,-0.035,-0.2747399999999942,0.7926815547872929,-1.2510075748771468,05d+-,-0.2747399999999942,0.7926815547872929,-1.2510075748771468,4.323839508499887e-05,,0.0003565676207777461,0.0007325190137628871,0.0013762051814526408
742,K2-32,K2-32 d,2021-05-17,4,0.1862,0.0021,-0.0021,10.3,3.6,-3.6,0.0,0.053,-0.035,-0.3454200000000043,0.7664055720047969,-1.0794599169955317,05d+-,-0.3454200000000043,0.7664055720047969,-1.0794599169955317,4.323839508499887e-05,,0.0003565676207777461,0.0007325190137628871,0.0013762051814526408
743,K2-32,K2-32 e,2021-05-17,4,0.04899,0.00048,-0.000465,2.1,1.3,-1.1,0.043,0.048,-0.03,0.0,0.9262108347455236,-1.1102854193404506,05d+-,0.0,0.9262108347455236,-1.1102854193404506,4.323839508499887e-05,,0.0003565676207777461,0.0007325190137628871,0.0013762051814526408
767,K2-38,K2-38 b,2023-04-17,2,0.0504499999999999,0.000715,-0.000715,9.85,2.05,-2.0,0.1535,0.067,-0.06,0.0,1.4495689014324225,-1.85969083452062,05d+-,0.0,1.4495689014324225,-1.85969083452062,0.009595275918523818,,0.005749233565377459,0.01190840747859925,0.021183200056096828
768,K2-38,K2-38 c,2023-04-17,2,0.0964,0.0014,-0.0014,8.3,1.4,-1.3,0.1235,0.096,-0.078,0.1399999999999863,1.0708524641611468,-1.344479453171375,05d+-,0.1399999999999863,1.0708524641611468,-1.344479453171375,0.009595275918523818,,0.005749233565377459,0.01190840747859925,0.021183200056096828
837,KOI-134,KOI-134 b,2025-07-17,2,0.3582,0.00646,-0.00746,346.43296363,38.13940884,-25.42627256,0.0,0.02,-0.03,0.0,0.1838477631085023,-0.1315218613006978,05d+-,0.0,0.1838477631085023,-0.1315218613006978,0.008428923410764974,,0.0061331139336803005,0.008930679432379364,0.012500934423067689
838,KOI-134,KOI-134 c,2025-07-17,2,0.2305,0.0069,-0.0081,69.92224954,5.40308292,-6.67439655,0.24,0.12,-0.03,14.579999999999998,2.902912330746487,-2.7016011918860268,05d+-,14.579999999999998,2.902912330746487,-2.7016011918860268,0.008428923410764974,,0.0061331139336803005,0.008930679432379364,0.012500934423067689
861,KOI-94,KOI-94 b,2025-04-16,4,0.04984,0.00053,-0.00053,10.5,4.2018194,-4.2018194,0.0,0.17,-0.17,3.67049999999999,0.5824946351684279,-0.5824946351684279,05d+-,3.67049999999999,0.5824946351684279,-0.5824946351684279,0.00012003771591898263,,0.002051548361911182,0.005400162762816473,0.01290053470660018
862,KOI-94,KOI-94 c,2025-04-16,4,0.0986565029051106,0.001045,-0.001045,9.4,3.0,-2.4,0.0,0.23,-0.23,0.5204999999999984,0.4195283065539201,-0.428640000466592,05d+-,0.5204999999999984,0.4195283065539201,-0.428640000466592,0.00012003771591898263,,0.002051548361911182,0.005400162762816473,0.01290053470660018
863,KOI-94,KOI-94 d,2025-04-16,4,0.1641937032649631,0.00176,-0.00176,72.9,8.66863675,-7.1,0.0,0.038,-0.038,0.0,0.1697056274847714,-0.1697056274847714,05d+-,0.0,0.1697056274847714,-0.1697056274847714,0.00012003771591898263,,0.002051548361911182,0.005400162762816473,0.01290053470660018
864,KOI-94,KOI-94 e,2025-04-16,4,0.296620719696218,0.003195,-0.003195,11.745,5.32872851,-5.12872851,0.0,0.23,-0.23,0.1404999999999887,0.15556670594957,-0.1543016526159068,05d+-,0.1404999999999887,0.15556670594957,-0.1543016526159068,0.00012003771591898263,,0.002051548361911182,0.005400162762816473,0.01290053470660018
885,Kepler-103,Kepler-103 b,2024-12-05,2,0.128,0.00127,-0.001495,9.8,6.86909026,-6.86909026,0.0,0.2,-0.03,0.3499999999999943,0.1404599587070991,-0.0906035319399856,05d+-,0.3499999999999943,0.1404599587070991,-0.0906035319399856,2.0163974821074117e-06,,0.0006681911011437044,0.003227311226105243,0.010660963603947747
886,Kepler-103,Kepler-103 c,2024-12-05,2,0.6425,0.006475,-0.007475,36.1,18.57388142,-18.57388142,0.0,0.19,-0.02,0.0,0.1697056274847714,-0.0777817459305202,05d+-,0.0,0.1697056274847714,-0.0777817459305202,2.0163974821074117e-06,,0.0006681911011437044,0.003227311226105243,0.010660963603947747
917,Kepler-109,Kepler-109 b,2024-12-05,2,0.069,0.001275,-0.001275,4.9,3.93455316,-3.93455316,0.0,0.09,-0.21,1.7150000000000034,0.2195449840010014,-0.2195449840010014,05d+-,1.7150000000000034,0.2195449840010014,-0.2195449840010014,0.00012841305100247434,,0.0013008065327993507,0.005095943296024391,0.014504218911988774
918,Kepler-109,Kepler-109 c,2024-12-05,2,0.15255,0.00282,-0.00282,8.2,5.8300808,-5.8300808,0.0,0.19,-0.03,0.0,0.268700576850888,-0.268700576850888,05d+-,0.0,0.268700576850888,-0.268700576850888,0.00012841305100247434,,0.0013008065327993507,0.005095943296024391,0.014504218911988774
923,Kepler-11,Kepler-11 b,2025-04-16,6,0.09211825495,0.00106,-0.00106,3.24,1.64,-1.155,0.0,0.0475,-0.0295,0.0,0.6913935203630418,-0.4110960958218893,05d+-,0.0,0.6913935203630418,-0.4110960958218893,1.6056066449371443e-05,,9.903058968039665e-05,0.00029778698773687826,0.0009613502741966481
924,Kepler-11,Kepler-11 c,2025-04-16,6,0.10785117215,0.00121,-0.00121,5.2517,3.6,-2.9,0.0,0.0375,-0.012,0.0,0.7159958100436062,-0.401621712560464,05d+-,0.0,0.7159958100436062,-0.401621712560464,1.6056066449371443e-05,,9.903058968039665e-05,0.00029778698773687826,0.0009613502741966481
925,Kepler-11,Kepler-11 d,2025-04-16,6,0.156105667,0.00176,-0.00176,7.24,1.63,-1.63,0.0,0.007,-0.0025,0.0,0.3858108344772085,-0.3087069808086626,05d+-,0.0,0.3858108344772085,-0.3087069808086626,1.6056066449371443e-05,,9.903058968039665e-05,0.00029778698773687826,0.0009613502741966481
926,Kepler-11,Kepler-11 e,2025-04-16,6,0.1955,0.00222,-0.00222,7.94932235,1.99,-1.95,0.0,0.005,-0.006,0.8500000000000085,0.1665082580534671,-0.170293863659264,05d+-,0.8500000000000085,0.1665082580534671,-0.170293863659264,1.6056066449371443e-05,,9.903058968039665e-05,0.00029778698773687826,0.0009613502741966481
