,hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84
2191,TOI-1064,TOI-1064 c,2024-05-08,2,0.09429,0.00132,-0.00136,2.5,1.8,-2.0,0.088,0.081,-0.064,-0.7459999999999951,0.1012570985165978,-0.1120044641967453,05d+-,-0.7459999999999951,0.1012570985165978,-0.1120044641967453,0.0016382951902955724,,0.00023905756876344778,0.0012756705808862903,0.003422226738622176
2195,TOI-1130,TOI-1130 b,2025-07-29,2,0.044255,0.00035,-0.00036,19.54,0.585,-0.635,0.13705,0.05575,-0.05575,-0.4599999999999937,0.5797413216254298,-0.39,05d+-,-0.4599999999999937,0.5797413216254298,-0.39,0.001492515003970329,,0.0007194531972557187,0.0017705523992381591,0.003810654863898253
2196,TOI-1130,TOI-1130 c,2025-07-29,2,0.07098,0.00056,-0.00058,317.62821,9.15156814,-9.15156814,0.047,0.04,-0.027,0.0,0.2121320343559642,-0.2121320343559642,05d+-,0.0,0.2121320343559642,-0.2121320343559642,0.001492515003970329,,0.0007194531972557187,0.0017705523992381591,0.003810654863898253
2197,TOI-1136,TOI-1136 b,2024-07-22,6,0.05106,0.0009,-0.0009,17.25,0.8,-0.7,0.027,0.0235,-0.015,2.9200000000000017,0.5341582162618114,-0.4952272205765753,05d+-,2.9200000000000017,0.5341582162618114,-0.4952272205765753,0.0009311211945260359,,0.0007790778390349212,0.0010204374906636095,0.0013210140299488359
2198,TOI-1136,TOI-1136 c,2024-07-22,6,0.0669,0.00075,-0.00075,6.96,3.1,-3.15,0.11,0.019,-0.019,0.2300000000000039,0.6269968101992226,-0.8257420904858853,05d+-,0.2300000000000039,0.6269968101992226,-0.8257420904858853,0.0009311211945260359,,0.0007790778390349212,0.0010204374906636095,0.0013210140299488359
2199,TOI-1136,TOI-1136 d,2025-04-07,6,0.1062,0.0014,-0.0014,10.325,4.3,-4.3,0.016,0.0085,-0.007,0.0349999999999965,0.498196748283246,-0.4830372656431386,05d+-,0.0349999999999965,0.498196748283246,-0.4830372656431386,0.0009311211945260359,,0.0007790778390349212,0.0010204374906636095,0.0013210140299488359
2200,TOI-1136,TOI-1136 e,2024-09-30,6,0.1393815576322771,0.002,-0.002,15.035,1.09,-1.01,0.0425,0.007,-0.0085,0.0850000000000079,0.4904079934095691,-0.4436496365376624,05d+-,0.0850000000000079,0.4904079934095691,-0.4436496365376624,0.0009311211945260359,,0.0007790778390349212,0.0010204374906636095,0.0013210140299488359
2201,TOI-1136,TOI-1136 f,2024-07-22,6,0.174,0.0025,-0.0025,20.85,3.9,-3.7,0.001,0.01,-0.00535,0.0,0.4384062043356594,-0.4030508652763321,05d+-,0.0,0.4384062043356594,-0.4030508652763321,0.0009311211945260359,,0.0007790778390349212,0.0010204374906636095,0.0013210140299488359
2202,TOI-1136,TOI-1136 g,2024-07-22,6,0.229,0.0035,-0.0035,8.899999999999999,6.7,-6.4,0.036,0.018,-0.0139999999999999,-0.2349999999999994,0.3920459156782532,-0.3570014005574768,05d+-,-0.2349999999999994,0.3920459156782532,-0.3570014005574768,0.0009311211945260359,,0.0007790778390349212,0.0010204374906636095,0.0013210140299488359
2211,TOI-125,TOI-125 b,2024-03-04,3,0.0521,0.0008799999999999,-0.0007949999999999,9.5,0.88,-0.88,0.194,0.041,-0.036,-0.125,0.7324616030891995,-0.6082762530298219,05d+-,-0.125,0.7324616030891995,-0.6082762530298219,0.012848391387675372,,0.00803535441316672,0.013733094179864139,0.02251647876647196
2212,TOI-125,TOI-125 c,2024-10-14,3,0.0818,0.00135,-0.0013,6.63,0.99,-0.99,0.066,0.07,-0.047,0.2549999999999954,0.4477722635447622,-0.2147091055358388,05d+-,0.2549999999999954,0.4477722635447622,-0.2147091055358388,0.012848391387675372,,0.00803535441316672,0.013733094179864139,0.02251647876647196
2213,TOI-125,TOI-125 d,2023-10-21,3,0.137,0.0022,-0.0022,13.6,1.2,-1.2,0.168,0.088,-0.062,0.0,0.2545584412271571,-0.1414213562373095,05d+-,0.0,0.2545584412271571,-0.1414213562373095,0.012848391387675372,,0.00803535441316672,0.013733094179864139,0.02251647876647196
2226,TOI-1338 A,TOI-1338 A b,2024-08-16,2,0.4607,0.0086,-0.0088,21.8,2.1,-2.1,0.088,0.0043,-0.0033,7.067999999999998,6.702457926014903,-6.801379933513492,05d+-,7.067999999999998,6.702457926014903,-6.801379933513492,0.006144065658821455,,0.007300300151058577,0.014221082609551735,0.03074591686028998
2227,TOI-1338 A,TOI-1338 A c,2024-08-07,2,0.7596976682726775,0.016,-0.016,70.30000000000001,7.9,-7.7,0.0985,0.032,-0.026,0.0,9.475230867899738,-9.616652224137043,05d+-,0.0,9.475230867899738,-9.616652224137043,0.006144065658821455,,0.007300300151058577,0.014221082609551735,0.03074591686028998
2232,TOI-1408,TOI-1408 b,2025-08-07,2,0.05791,0.00015,-0.00015,565.065003915,33.7828407,-33.7828407,0.13065,0.01325,-0.01325,0.0,0.207889393668845,-0.207889393668845,05d+-,0.0,0.207889393668845,-0.207889393668845,0.008579563069476217,,0.00696020914400732,0.008594901201620325,0.010400914347692795
